"race","classtype","yearssmall","hsgrad","g4math","g4reading"
1,3,0,NA,NA,NA
2,3,0,NA,706,661
1,3,0,1,711,750
2,1,4,NA,672,659
1,2,0,NA,NA,NA
1,3,0,NA,NA,NA
1,1,4,NA,668,657
1,3,0,NA,NA,NA
1,1,4,1,709,725
1,2,0,1,698,692
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
2,2,0,1,NA,NA
1,3,0,NA,NA,NA
1,3,0,1,NA,NA
1,3,0,NA,NA,NA
1,1,1,NA,NA,NA
1,2,2,NA,NA,NA
1,3,0,NA,733,672
1,3,0,NA,NA,NA
1,2,1,NA,NA,NA
2,1,4,NA,NA,NA
1,1,1,NA,NA,NA
1,3,0,NA,NA,NA
2,2,0,1,NA,NA
1,1,2,NA,NA,NA
1,1,4,1,740,836
1,2,0,1,NA,NA
1,3,0,NA,NA,NA
1,2,0,NA,NA,NA
1,3,3,NA,NA,NA
1,3,0,NA,716,679
1,3,0,NA,NA,NA
1,2,0,NA,758,836
1,3,3,NA,720,764
2,2,0,1,NA,NA
2,3,0,1,NA,NA
1,3,0,NA,NA,NA
1,1,4,NA,685,785
1,1,4,1,771,725
2,3,0,NA,NA,NA
2,1,1,1,NA,NA
2,3,0,NA,NA,NA
2,1,1,NA,NA,NA
2,3,0,NA,NA,NA
2,1,2,0,NA,NA
2,1,3,1,NA,NA
1,1,4,1,709,761
2,1,3,NA,NA,NA
2,1,2,0,NA,NA
2,2,0,NA,NA,NA
2,1,1,0,NA,NA
2,3,1,NA,NA,NA
1,1,3,NA,NA,NA
1,1,1,1,NA,NA
2,3,0,NA,NA,NA
2,3,3,NA,NA,NA
1,1,4,NA,679,678
1,3,0,NA,NA,NA
1,2,0,NA,NA,NA
2,1,1,1,NA,NA
2,3,0,NA,NA,NA
2,3,0,NA,NA,NA
2,1,1,NA,NA,NA
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
1,2,1,1,NA,NA
1,3,0,1,NA,NA
1,3,0,0,NA,NA
1,2,0,1,698,778
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
2,2,0,0,NA,NA
2,1,1,NA,NA,NA
2,2,0,NA,NA,NA
1,3,3,NA,681,670
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,1,2,NA,NA,NA
1,2,0,NA,NA,NA
1,3,0,0,NA,NA
1,3,0,0,NA,NA
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
1,3,0,1,673,665
1,3,0,1,NA,NA
1,2,1,NA,NA,NA
2,3,0,NA,NA,NA
2,3,0,NA,NA,NA
1,2,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,2,0,0,NA,NA
1,3,0,NA,644,702
2,3,0,NA,NA,NA
2,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,0,NA,NA
2,2,0,0,NA,NA
1,2,0,NA,NA,NA
2,1,1,NA,NA,NA
1,2,0,NA,NA,NA
2,2,0,NA,NA,NA
1,2,0,0,744,735
1,2,0,NA,NA,NA
1,2,0,1,NA,NA
2,3,0,1,NA,NA
1,3,0,0,NA,NA
2,1,1,NA,NA,NA
1,1,2,1,NA,NA
1,2,0,NA,NA,NA
2,2,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,2,NA,NA,NA
2,2,0,NA,690,570
2,3,0,NA,NA,NA
1,1,1,NA,NA,NA
2,2,0,NA,NA,NA
1,3,1,NA,NA,NA
2,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,NA,740,728
1,3,0,1,731,698
1,2,0,1,727,750
2,1,3,NA,NA,NA
1,2,0,0,487,616
1,2,1,0,674,675
2,1,1,NA,NA,NA
1,2,0,NA,NA,NA
1,3,0,NA,676,629
2,2,0,0,666,644
1,2,0,NA,NA,NA
2,2,0,1,NA,NA
2,3,0,NA,NA,NA
2,3,0,NA,NA,NA
1,2,0,1,664,528
2,1,3,NA,NA,NA
2,3,0,0,744,732
2,2,0,NA,NA,NA
2,3,0,NA,NA,NA
1,2,3,NA,736,782
2,2,0,NA,NA,NA
1,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,1,1,0,NA,NA
1,2,0,1,702,771
1,3,0,1,667,729
1,1,4,1,744,772
1,2,0,1,NA,NA
1,1,1,NA,NA,NA
2,2,0,1,654,647
1,3,0,NA,665,739
2,2,0,NA,NA,NA
1,3,0,1,NA,NA
1,3,0,1,NA,NA
1,2,0,NA,NA,NA
1,1,1,NA,NA,NA
1,1,4,NA,NA,NA
1,3,0,1,NA,NA
2,3,0,NA,NA,NA
1,1,3,0,NA,NA
1,1,1,NA,NA,NA
1,1,4,1,680,528
1,1,4,0,666,675
1,3,0,0,NA,NA
1,2,0,NA,NA,NA
2,1,1,NA,NA,NA
1,3,0,NA,NA,NA
2,2,0,NA,NA,NA
2,2,0,NA,NA,NA
2,1,4,0,NA,NA
2,2,0,1,NA,NA
1,3,0,1,647,NA
1,1,4,NA,NA,NA
2,2,0,NA,NA,NA
1,1,2,NA,NA,NA
2,3,0,NA,NA,NA
1,2,0,NA,NA,NA
1,2,2,NA,NA,NA
1,2,0,NA,NA,NA
1,1,2,NA,NA,NA
1,3,0,1,595,653
1,1,2,1,NA,NA
2,3,0,NA,NA,NA
2,1,1,1,NA,NA
1,3,0,NA,NA,NA
2,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,2,0,NA,618,659
1,1,1,NA,NA,NA
1,1,4,1,678,650
2,2,0,NA,NA,NA
1,2,0,1,NA,NA
1,1,1,NA,NA,NA
2,1,1,NA,NA,NA
2,2,1,1,NA,NA
2,1,3,1,706,684
2,2,0,NA,NA,NA
2,1,2,NA,NA,NA
1,2,0,1,NA,NA
2,1,4,NA,NA,NA
2,1,4,NA,NA,NA
2,1,2,1,NA,NA
2,3,0,0,NA,NA
2,3,3,1,NA,NA
2,1,2,NA,705,689
2,3,0,NA,NA,NA
2,2,0,0,NA,NA
2,3,0,0,NA,NA
2,3,0,1,NA,NA
2,3,0,1,NA,NA
2,3,0,NA,726,698
2,3,1,NA,NA,NA
2,3,2,NA,725,756
2,1,4,0,680,723
2,3,0,1,NA,NA
2,1,1,1,NA,NA
2,2,0,NA,NA,NA
2,2,0,1,NA,NA
2,1,4,0,NA,NA
2,3,0,0,NA,NA
2,2,0,NA,NA,NA
1,2,0,0,NA,NA
2,1,2,0,NA,NA
2,2,0,1,758,729
2,2,0,NA,NA,NA
2,1,3,1,NA,NA
2,3,0,0,NA,NA
2,3,0,NA,NA,NA
2,1,1,NA,NA,NA
2,3,0,NA,NA,NA
2,2,1,NA,NA,NA
2,1,3,NA,689,768
2,2,0,NA,NA,NA
2,1,4,NA,NA,NA
2,2,1,0,NA,NA
2,1,2,1,719,721
2,3,0,1,NA,NA
2,2,0,1,NA,NA
2,3,0,0,NA,NA
2,1,4,NA,NA,NA
2,1,4,NA,694,671
2,3,0,NA,NA,NA
2,2,0,1,NA,NA
2,2,0,NA,NA,NA
2,1,1,0,NA,NA
2,3,1,1,758,782
1,2,0,0,NA,NA
1,2,0,NA,NA,NA
1,3,0,NA,NA,NA
2,3,0,NA,NA,NA
2,2,0,1,727,715
1,3,0,NA,NA,NA
2,3,0,0,NA,NA
2,2,0,NA,NA,NA
2,3,0,NA,NA,NA
1,1,2,NA,NA,NA
2,1,1,NA,NA,NA
2,2,0,NA,NA,NA
2,3,0,1,NA,NA
2,3,0,NA,NA,NA
2,2,0,NA,NA,NA
1,1,4,NA,NA,NA
2,1,4,0,NA,NA
2,2,0,NA,NA,NA
2,1,1,0,NA,NA
2,3,0,NA,NA,NA
2,1,1,NA,NA,NA
2,3,0,1,NA,NA
2,3,0,0,NA,NA
2,2,0,1,NA,NA
2,3,0,NA,NA,NA
2,3,0,NA,NA,NA
1,1,1,1,NA,NA
1,3,0,NA,NA,NA
2,2,0,1,NA,NA
2,1,1,NA,NA,NA
2,3,0,NA,NA,NA
1,3,0,NA,NA,NA
2,2,0,NA,NA,NA
2,3,0,1,694,709
2,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,2,0,0,NA,NA
2,1,4,1,NA,NA
2,2,0,NA,NA,NA
1,2,0,NA,NA,NA
2,2,2,1,744,724
1,1,1,1,NA,NA
2,1,4,NA,NA,NA
2,1,4,NA,NA,NA
2,1,3,NA,NA,NA
1,2,0,1,676,721
1,2,0,1,NA,NA
1,3,0,NA,NA,NA
2,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,1,1,1,NA,NA
1,2,2,1,662,528
2,3,0,1,NA,NA
2,2,0,1,740,701
2,1,1,1,NA,NA
2,1,4,NA,670,724
2,3,0,1,773,738
2,2,0,1,NA,NA
2,2,0,1,NA,NA
1,1,4,NA,636,710
1,3,0,1,NA,NA
2,1,2,NA,NA,NA
1,1,2,NA,NA,NA
2,1,1,1,NA,NA
1,1,4,1,653,548
1,1,2,NA,NA,NA
1,2,0,NA,666,591
1,2,0,NA,646,695
2,2,0,NA,NA,NA
1,3,0,0,NA,NA
1,1,1,NA,NA,NA
1,2,0,NA,712,682
1,2,2,NA,NA,NA
1,2,0,1,533,650
2,1,4,1,654,605
1,1,2,1,NA,NA
1,3,0,NA,NA,NA
1,1,1,NA,NA,NA
1,2,0,1,702,741
1,1,2,NA,NA,NA
1,1,1,NA,NA,NA
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
2,2,0,1,713,712
1,2,0,NA,NA,NA
1,1,4,1,647,701
1,1,4,1,740,763
2,2,0,NA,NA,NA
1,2,0,0,NA,NA
1,3,0,1,705,753
1,2,0,NA,684,664
1,1,2,NA,NA,NA
1,2,0,0,NA,NA
1,1,1,1,758,794
2,3,0,1,NA,NA
1,2,0,NA,NA,NA
1,1,4,1,724,713
1,3,2,NA,686,698
1,1,4,1,531,528
1,1,1,NA,NA,NA
1,2,0,1,NA,NA
1,1,4,1,705,726
1,3,0,NA,NA,NA
1,3,0,1,720,836
1,1,4,NA,NA,NA
1,1,4,1,643,528
2,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,1,2,NA,NA,NA
1,2,0,1,NA,NA
1,2,0,NA,NA,NA
1,3,0,NA,NA,NA
1,1,1,NA,NA,NA
2,3,0,NA,NA,NA
2,3,0,0,NA,NA
1,3,0,NA,NA,NA
1,1,4,NA,NA,NA
1,3,0,NA,NA,NA
1,2,0,NA,NA,NA
2,2,0,1,NA,NA
1,2,0,NA,NA,NA
1,3,1,NA,654,653
1,1,2,0,NA,NA
1,3,0,1,NA,NA
1,3,0,NA,NA,NA
1,3,0,1,697,698
1,3,0,NA,641,705
1,2,0,NA,744,679
2,2,0,NA,NA,NA
1,1,2,NA,NA,NA
1,2,0,1,NA,NA
1,3,0,0,NA,NA
1,1,1,0,NA,NA
2,1,1,NA,NA,NA
1,1,3,NA,NA,NA
1,1,4,1,662,697
1,3,3,NA,740,685
1,1,4,1,686,705
2,2,0,0,NA,NA
1,2,0,1,821,784
1,2,0,1,683,733
1,3,0,NA,702,720
2,2,0,NA,NA,NA
1,2,0,1,NA,NA
2,1,1,NA,NA,NA
1,1,4,NA,NA,NA
1,3,3,1,NA,NA
1,2,0,1,821,767
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
1,1,4,1,729,763
2,1,2,NA,NA,NA
1,1,4,1,741,740
1,2,0,0,NA,NA
1,2,0,1,758,726
1,1,4,0,640,620
1,1,1,NA,NA,NA
1,1,1,NA,NA,NA
2,3,1,NA,NA,NA
2,1,4,NA,678,528
1,2,0,NA,689,648
1,1,3,NA,NA,NA
1,2,0,NA,NA,NA
1,3,0,NA,NA,NA
2,2,0,NA,NA,NA
1,3,0,0,706,718
1,2,2,0,708,712
1,1,4,1,744,836
1,2,0,NA,NA,NA
1,3,0,1,NA,NA
1,1,4,1,697,764
1,1,1,NA,NA,NA
1,3,2,1,714,699
2,2,0,NA,NA,NA
1,1,4,1,729,733
1,1,4,1,742,761
1,2,0,NA,NA,NA
1,3,0,1,655,714
1,1,4,NA,NA,NA
1,2,0,NA,NA,NA
1,1,2,NA,699,729
1,2,0,1,NA,NA
1,1,2,0,NA,NA
1,1,2,NA,NA,NA
1,1,4,NA,722,755
2,3,1,NA,732,691
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,2,0,1,716,760
1,3,0,1,740,750
1,3,0,NA,678,722
1,1,3,NA,NA,NA
1,3,0,1,NA,NA
1,1,2,1,NA,NA
1,2,0,NA,550,666
1,3,0,1,NA,NA
1,1,1,NA,NA,NA
1,1,4,NA,707,747
1,1,4,NA,NA,580
1,2,0,1,758,736
1,1,4,1,701,695
1,1,1,NA,NA,NA
1,2,0,NA,654,634
1,3,0,1,NA,NA
1,1,4,1,739,737
1,3,0,1,694,720
1,1,2,NA,NA,NA
1,3,0,1,720,738
2,2,0,NA,669,674
1,3,0,1,704,714
1,1,4,1,821,756
1,1,4,1,713,781
1,3,0,NA,NA,NA
1,3,0,1,717,782
1,2,0,NA,702,794
1,3,0,NA,700,760
1,2,0,NA,NA,NA
1,1,1,NA,NA,NA
1,1,4,NA,NA,NA
2,3,0,NA,NA,NA
1,3,1,1,714,743
1,3,0,NA,714,671
1,2,0,NA,729,836
1,3,0,1,716,737
1,3,0,0,NA,NA
1,1,1,1,728,727
1,3,0,NA,NA,NA
1,2,0,NA,NA,NA
1,3,0,1,NA,NA
2,3,0,NA,NA,NA
1,2,0,NA,NA,NA
2,1,1,NA,NA,NA
1,1,4,1,747,836
1,2,0,NA,633,673
1,3,1,NA,NA,NA
1,2,0,1,689,671
1,2,0,NA,NA,NA
1,2,0,1,744,836
1,1,2,NA,NA,NA
1,2,0,1,NA,NA
1,2,2,1,693,703
1,2,0,NA,NA,NA
1,3,0,1,737,776
1,1,4,NA,NA,NA
1,2,0,1,NA,NA
1,2,1,1,NA,NA
1,3,0,NA,NA,NA
1,3,2,1,727,751
1,2,0,1,692,778
1,3,0,1,740,698
1,2,0,1,NA,NA
1,3,0,1,696,NA
1,3,0,1,699,NA
1,3,0,0,NA,NA
1,1,4,1,738,NA
1,2,1,1,NA,NA
1,3,0,NA,NA,NA
1,1,4,1,750,763
1,1,2,1,NA,NA
1,1,3,NA,NA,NA
1,1,4,NA,723,749
2,3,0,1,693,528
1,1,4,1,707,715
1,1,4,1,767,750
1,2,0,NA,NA,NA
1,2,2,1,740,741
2,1,4,NA,687,682
1,3,0,NA,696,760
1,2,0,NA,693,743
1,2,0,1,NA,NA
1,3,0,1,744,761
1,1,4,1,702,741
1,3,3,1,720,702
1,2,0,0,695,696
1,1,1,NA,NA,NA
1,2,0,1,712,740
1,1,4,0,717,741
1,3,0,NA,NA,NA
1,1,4,1,821,796
1,3,3,NA,707,720
1,2,0,NA,NA,NA
1,2,0,NA,NA,NA
1,1,4,NA,660,606
1,2,0,1,758,745
1,1,4,0,665,620
1,3,0,1,NA,NA
1,1,2,0,NA,NA
1,2,0,1,740,741
1,2,0,NA,NA,NA
1,1,2,1,NA,NA
1,3,0,NA,NA,NA
1,3,0,1,741,688
1,2,0,1,NA,NA
1,2,0,1,674,704
1,1,1,1,NA,NA
1,3,0,1,758,734
1,1,1,1,739,836
1,2,0,0,741,753
1,1,2,NA,NA,NA
1,1,1,1,NA,NA
2,3,0,NA,NA,NA
1,1,2,1,NA,NA
1,3,2,1,821,778
1,1,1,1,NA,NA
1,2,0,NA,NA,NA
2,3,0,NA,NA,NA
2,1,1,NA,NA,NA
1,3,0,1,744,784
1,3,0,NA,NA,NA
1,1,4,0,713,707
1,2,0,1,NA,NA
1,3,0,NA,NA,NA
1,1,3,NA,NA,NA
1,2,0,NA,684,794
1,2,0,1,690,728
1,3,3,1,704,719
1,2,0,NA,NA,NA
1,3,2,1,706,737
1,1,4,NA,740,644
2,3,0,NA,NA,NA
2,2,0,1,741,722
2,1,1,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,1,707,757
2,3,0,NA,NA,NA
1,3,0,1,700,716
1,3,0,NA,487,528
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,3,0,1,NA,NA
1,2,0,1,741,722
1,3,0,NA,730,763
1,1,1,1,NA,NA
1,2,0,1,704,699
1,1,4,1,715,762
1,2,0,NA,702,716
1,1,4,NA,654,727
1,1,1,NA,NA,NA
1,1,1,NA,NA,NA
1,1,1,1,NA,NA
1,1,4,0,535,705
1,3,0,0,691,717
1,1,1,0,695,741
1,2,0,0,675,721
1,2,3,1,758,769
1,1,2,NA,NA,NA
1,2,0,NA,NA,NA
1,1,4,1,686,742
1,3,0,1,NA,NA
1,1,4,1,758,778
1,3,0,NA,741,782
1,1,1,NA,NA,NA
1,3,0,NA,672,666
1,3,0,NA,NA,NA
1,1,4,NA,758,747
1,3,0,NA,713,785
1,2,0,NA,NA,NA
2,3,0,0,709,713
1,1,4,1,740,785
1,3,0,1,699,756
1,3,0,NA,645,637
1,2,3,1,705,724
1,2,0,NA,NA,NA
1,3,2,1,NA,NA
1,3,0,1,696,673
1,2,3,NA,741,784
2,1,4,1,NA,NA
1,1,4,1,769,761
1,3,0,1,758,751
1,1,4,NA,670,676
1,1,4,NA,714,836
1,1,4,1,758,721
1,2,0,NA,NA,NA
1,3,0,1,767,745
1,3,0,NA,775,796
1,3,3,NA,702,708
1,3,2,1,726,742
1,3,0,1,740,727
1,2,0,NA,699,709
1,2,0,1,739,782
1,3,3,1,750,716
1,1,4,NA,NA,NA
1,1,1,0,NA,NA
1,2,2,0,NA,NA
1,2,0,1,738,742
1,2,0,NA,NA,NA
1,1,3,NA,NA,NA
1,2,0,1,NA,NA
1,1,1,NA,NA,NA
1,3,0,NA,NA,NA
2,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,1,2,1,NA,NA
1,2,0,1,712,778
1,1,4,1,714,744
1,1,4,1,728,784
1,2,0,NA,758,734
1,1,4,NA,821,710
1,2,0,1,NA,NA
1,2,0,1,758,767
1,1,4,NA,775,728
1,1,3,NA,NA,NA
1,1,4,1,741,784
1,3,0,1,697,706
1,1,4,NA,688,758
1,3,0,1,744,740
1,2,0,NA,645,744
1,2,0,NA,603,669
1,1,1,1,NA,NA
1,2,0,NA,NA,NA
1,2,0,0,NA,NA
1,2,0,NA,691,632
1,2,3,NA,638,528
1,3,0,NA,NA,NA
1,3,0,0,699,723
1,3,0,NA,638,675
1,2,0,1,724,667
1,3,0,NA,NA,NA
1,3,0,NA,711,738
1,3,3,NA,744,629
1,2,0,1,686,698
1,3,3,1,752,716
1,2,0,NA,678,716
1,1,4,1,744,836
2,3,3,1,725,691
1,3,0,1,726,723
1,3,0,1,NA,NA
1,2,0,1,758,763
1,3,0,NA,NA,NA
1,1,3,1,NA,NA
2,1,4,NA,666,674
1,3,0,1,NA,NA
1,3,0,NA,NA,NA
1,2,0,1,773,741
1,3,0,1,639,701
1,3,0,1,712,704
2,1,1,NA,726,722
1,2,0,0,NA,NA
1,2,0,1,710,736
1,2,0,1,NA,NA
1,2,2,NA,683,715
1,1,3,1,696,757
1,3,0,NA,NA,NA
1,3,0,NA,NA,NA
1,1,4,1,740,778
1,2,0,1,NA,NA
1,1,3,NA,NA,NA
