"region","year","gdpcap"
"Andalucia",1955,1.68873183014256
"Andalucia",1956,1.75849753289657
"Andalucia",1957,1.8276206972394
"Andalucia",1958,1.85275629430933
"Andalucia",1959,1.87803484718652
"Andalucia",1960,2.01013996001143
"Andalucia",1961,2.12917747377702
"Andalucia",1962,2.28034844571473
"Andalucia",1963,2.43101972608831
"Andalucia",1964,2.50885458681727
"Andalucia",1965,2.58469002752841
"Andalucia",1966,2.69444434855945
"Andalucia",1967,2.80234220537994
"Andalucia",1968,2.98736079765435
"Andalucia",1969,3.17909177525729
"Andalucia",1970,3.35432726531259
"Andalucia",1971,3.52292206586344
"Andalucia",1972,3.75621265018031
"Andalucia",1973,3.98771781234937
"Andalucia",1974,4.05184220872719
"Andalucia",1975,4.11218219878026
"Andalucia",1976,4.22179356400403
"Andalucia",1977,4.33169084084235
"Andalucia",1978,4.30519868904643
"Andalucia",1979,4.2269351788161
"Andalucia",1980,4.21151120606166
"Andalucia",1981,4.20701245654143
"Andalucia",1982,4.24907153689906
"Andalucia",1983,4.29163096258212
"Andalucia",1984,4.35868333796371
"Andalucia",1985,4.42659257650716
"Andalucia",1986,4.66323891764741
"Andalucia",1987,4.90067107988677
"Andalucia",1988,5.15959717075813
"Andalucia",1989,5.41773787637126
"Andalucia",1990,5.5852611621289
"Andalucia",1991,5.74921447527269
"Andalucia",1992,5.64124535846901
"Andalucia",1993,5.53491849008542
"Andalucia",1994,5.63881728894981
"Andalucia",1995,5.72072268553851
"Andalucia",1996,5.99592961232617
"Andalucia",1997,6.30098553733532
"Aragon",1955,2.28877455736698
"Aragon",1956,2.44515862202038
"Aragon",1957,2.60339893296391
"Aragon",1958,2.63903175752798
"Aragon",1959,2.67709221577038
"Aragon",1960,2.8814623608517
"Aragon",1961,3.09954297028416
"Aragon",1962,3.35918318643055
"Aragon",1963,3.61418169724945
"Aragon",1964,3.68009129785463
"Aragon",1965,3.74528699110522
"Aragon",1966,3.88331910400042
"Aragon",1967,4.01613812417992
"Aragon",1968,4.24364488215421
"Aragon",1969,4.47622090535517
"Aragon",1970,4.59625802016946
"Aragon",1971,4.72372186350775
"Aragon",1972,5.00128538191097
"Aragon",1973,5.28349060564169
"Aragon",1974,5.44237378187705
"Aragon",1975,5.60097104649788
"Aragon",1976,5.73657508987388
"Aragon",1977,5.86639552482773
"Aragon",1978,5.92502135271619
"Aragon",1979,5.95279923509578
"Aragon",1980,5.97472159530871
"Aragon",1981,6.01113958721057
"Aragon",1982,6.13360477154407
"Aragon",1983,6.26085418117145
"Aragon",1984,6.37289361591443
"Aragon",1985,6.49550132021431
"Aragon",1986,6.92652092426717
"Aragon",1987,7.3586118251928
"Aragon",1988,7.80277028828817
"Aragon",1989,8.24264530725596
"Aragon",1990,8.45829762924879
"Aragon",1991,8.6682378207231
"Aragon",1992,8.46686626086743
"Aragon",1993,8.25692694107487
"Aragon",1994,8.57397851450925
"Aragon",1995,8.84675824345946
"Aragon",1996,9.09668683529036
"Aragon",1997,9.51870894030277
"Principado De Asturias",1955,2.50292780466742
"Principado De Asturias",1956,2.61553840887816
"Principado De Asturias",1957,2.72579263939377
"Principado De Asturias",1958,2.75185657752919
"Principado De Asturias",1959,2.77742082410048
"Principado De Asturias",1960,2.96729511957242
"Principado De Asturias",1961,3.14388738227415
"Principado De Asturias",1962,3.37353608023266
"Principado De Asturias",1963,3.59725799604131
"Principado De Asturias",1964,3.67259352726788
"Principado De Asturias",1965,3.74335883107059
"Principado De Asturias",1966,3.9093828242154
"Principado De Asturias",1967,4.07312213948916
"Principado De Asturias",1968,4.30862614169389
"Principado De Asturias",1969,4.54970019029161
"Principado De Asturias",1970,4.63160515103944
"Principado De Asturias",1971,4.69965734539016
"Principado De Asturias",1972,5.02256487683207
"Principado De Asturias",1973,5.34561536408124
"Principado De Asturias",1974,5.50249933821921
"Principado De Asturias",1975,5.65195658383319
"Principado De Asturias",1976,5.59225945907196
"Principado De Asturias",1977,5.53870333225105
"Principado De Asturias",1978,5.61461025086582
"Principado De Asturias",1979,5.70429889381494
"Principado De Asturias",1980,5.79698655783058
"Principado De Asturias",1981,5.93566110017674
"Principado De Asturias",1982,5.84975729939325
"Principado De Asturias",1983,5.76906615548459
"Principado De Asturias",1984,5.88731806607152
"Principado De Asturias",1985,6.01128254301784
"Principado De Asturias",1986,6.23479002511559
"Principado De Asturias",1987,6.4652958041564
"Principado De Asturias",1988,6.68816042096231
"Principado De Asturias",1989,6.91352458519106
"Principado De Asturias",1990,6.98314755005824
"Principado De Asturias",1991,7.04063103901118
"Principado De Asturias",1992,6.92280756000518
"Principado De Asturias",1993,6.79834317357429
"Principado De Asturias",1994,6.95415585083949
"Principado De Asturias",1995,7.11646691556319
"Principado De Asturias",1996,7.21722373755378
"Principado De Asturias",1997,7.47572139684421
"Baleares",1955,3.14395886017778
"Baleares",1956,3.34775783579134
"Baleares",1957,3.54962865137026
"Baleares",1958,3.64267348698363
"Baleares",1959,3.73486167735558
"Baleares",1960,4.05884050567026
"Baleares",1961,4.36025410848017
"Baleares",1962,4.64617269647288
"Baleares",1963,4.91152526105822
"Baleares",1964,5.05069971288895
"Baleares",1965,5.18466150784486
"Baleares",1966,5.46679525367194
"Baleares",1967,5.73764638674664
"Baleares",1968,6.16145369598642
"Baleares",1969,6.58169103261233
"Baleares",1970,6.88703243339515
"Baleares",1971,7.16866626973767
"Baleares",1972,7.5706937387309
"Baleares",1973,7.95629785184144
"Baleares",1974,7.97272207940588
"Baleares",1975,7.97414989411508
"Baleares",1976,8.03484683784544
"Baleares",1977,8.0805482404023
"Baleares",1978,8.04198765475489
"Baleares",1979,8.00485575549843
"Baleares",1980,8.25978257049325
"Baleares",1981,8.53113361305252
"Baleares",1982,8.7225078548986
"Baleares",1983,8.92530722946346
"Baleares",1984,9.27592116538132
"Baleares",1985,9.65224186783687
"Baleares",1986,10.2577834904313
"Baleares",1987,10.8233358409874
"Baleares",1988,11.1203945217661
"Baleares",1989,11.4081689202081
"Baleares",1990,11.5124246727498
"Baleares",1991,11.6795199627673
"Baleares",1992,11.3196226161945
"Baleares",1993,10.9697225876312
"Baleares",1994,11.4195940529268
"Baleares",1995,11.7737792689812
"Baleares",1996,11.9265920534981
"Baleares",1997,12.3500428449015
"Canarias",1955,1.91438157910519
"Canarias",1956,2.07183672271092
"Canarias",1957,2.22607819361879
"Canarias",1958,2.22086553674397
"Canarias",1959,2.21343902614041
"Canarias",1960,2.35768361487957
"Canarias",1961,2.44572979148815
"Canarias",1962,2.64824325443846
"Canarias",1963,2.84475867525573
"Canarias",1964,2.95115680362251
"Canarias",1965,3.05419873932504
"Canarias",1966,3.2317908209959
"Canarias",1967,3.40338464261327
"Canarias",1968,3.66031153138724
"Canarias",1969,3.91288219060737
"Canarias",1970,4.22493554087783
"Canarias",1971,4.49357347398511
"Canarias",1972,4.78191925981528
"Canarias",1973,5.05491298663552
"Canarias",1974,4.967794933172
"Canarias",1975,4.88153374287034
"Canarias",1976,4.94844316244466
"Canarias",1977,5.00792628933586
"Canarias",1978,5.04091682859027
"Canarias",1979,5.23350488727551
"Canarias",1980,5.43708921125772
"Canarias",1981,5.65824053758078
"Canarias",1982,5.68730371470317
"Canarias",1983,5.71986582237664
"Canarias",1984,5.80134235154353
"Canarias",1985,5.88560390390692
"Canarias",1986,6.25678386323216
"Canarias",1987,6.61268193392848
"Canarias",1988,6.97700655211792
"Canarias",1989,7.33790328181903
"Canarias",1990,7.34504409872849
"Canarias",1991,7.34718669247403
"Canarias",1992,7.22007980281304
"Canarias",1993,7.09218796373469
"Canarias",1994,7.41074013730452
"Canarias",1995,7.61639514128776
"Canarias",1996,7.81705192210708
"Canarias",1997,8.06055447606487
"Cantabria",1955,2.55941169257165
"Cantabria",1956,2.69387317909169
"Cantabria",1957,2.8203369855404
"Cantabria",1958,2.87903450925294
"Cantabria",1959,2.94373029301896
"Cantabria",1960,3.1370322590588
"Cantabria",1961,3.32762067980577
"Cantabria",1962,3.55534143565008
"Cantabria",1963,3.77142262506471
"Cantabria",1964,3.83940290567092
"Cantabria",1965,3.90609832737521
"Cantabria",1966,4.03213348432256
"Cantabria",1967,4.15595544130248
"Cantabria",1968,4.37589251494551
"Cantabria",1969,4.61082556560291
"Cantabria",1970,4.7914166683403
"Cantabria",1971,4.96965161530299
"Cantabria",1972,5.15538433285244
"Cantabria",1973,5.33876045878633
"Cantabria",1974,5.50835486038587
"Cantabria",1975,5.67523571669255
"Cantabria",1976,5.79605821676508
"Cantabria",1977,5.90295647253686
"Cantabria",1978,5.91659524106394
"Cantabria",1979,5.90645540308796
"Cantabria",1980,5.8991001524676
"Cantabria",1981,5.91488151474021
"Cantabria",1982,5.9168807168376
"Cantabria",1983,5.94165957815066
"Cantabria",1984,6.02884910951782
"Cantabria",1985,6.13831751893432
"Cantabria",1986,6.42045126476141
"Cantabria",1987,6.71322475804904
"Cantabria",1988,7.02342186202938
"Cantabria",1989,7.33361896600971
"Cantabria",1990,7.45072853766112
"Cantabria",1991,7.59640137695034
"Cantabria",1992,7.46215367037989
"Cantabria",1993,7.32790596380945
"Cantabria",1994,7.55069997439348
"Cantabria",1995,7.77706352175048
"Cantabria",1996,7.9077408198662
"Cantabria",1997,8.22693498704611
"Castilla Y Leon",1955,1.72914877104031
"Castilla Y Leon",1956,1.83833192260359
"Castilla Y Leon",1957,1.9476578120537
