"country","year","preamble"
"afghanistan",2004,"In the name of Allah, the Most Beneficent, the Most Merciful Praise be to Allah, the Cherisher and Sustainer of Worlds; and Praise and Peace be upon Mohammad, His Last Messenger and his disciples and followers We the people of Afghanistan: Believing firmly in Almighty God, relying on His divine will and adhering to the Holy religion of Islam; Realizing the previous injustices, miseries and innumerable disasters which have befallen our country; Appreciating the sacrifices, historical struggles, jihad and just resistance of all the peoples of Afghanistan, admiring the supreme position of the martyrs of the country's freedom; Comprehending that a united, indivisible Afghanistan belongs to all its tribes and peoples; Observing the United Nations Charter as well as the Universal Declaration of Human Rights; And in order to: Strengthen national unity, safeguard independence, national sovereignty and territorial integrity of the country; Establish an order based on the peoples' will and democracy; Form a civil society void of oppression, atrocity, discrimination as well as violence, based on rule of law, social justice, protecting integrity and human rights, and attaining peoples' freedoms and fundamental rights; Strengthen political, social, economic as well as defense institutions; Attain a prosperous life and sound living environment for all inhabitants of this land; And, eventually, regain Afghanistan's appropriate place in the international family; Have, herein, approved this constitution in accordance with the historical, cultural and social realities as well as requirements of time through our elected representatives in the Loya Jirga, dated January 3, 2004, held in the city of Kabul."
"albania",1998,"We, the people of Albania, proud and aware of our history, with responsibility for the future, and with faith in God and/or other universal values, with determination to build a social and democratic state based on the rule of law, and to guarantee the fundamental human rights and freedoms, with a spirit of religious coexistence and tolerance, with a pledge to protect human dignity and personhood, as well as for the prosperity of the whole nation, for peace, well-being, culture and social solidarity, with the centuries-old aspiration of the Albanian people for national identity and unity, with a deep conviction that justice, peace, harmony and cooperation between nations are among the highest values of humanity, We establish this Constitution:"
"algeria",1989,"The Algerian people is a free people, decided to remain free. Its history is a long chain of battles which have made Algeria forever a country of freedom and dignity. Placed in the heart of the great moments which the Mediterranean has known in the course of its history, Algeria has found in its sons, from the time of the Numidian Kingdom and the epic of Islam to the colonial wars, its heralds of liberty, unity and progress at the same time as the builders of democratic and prosperous states in the periods of grandeur and of peace. November 1, 1954 was one of the crowns of its destiny, the result of its long resistance to the aggressions directed against its culture, its values and the fundamental components of its identity which are its Arab-ness and Amazighit; the first of November solidly anchored the battles waged in the glorious past of the Nation. United in the national movement afterwards in the breast of the National Liberation Front, the people has spilled its blood in order to assume its collective destiny in the liberty and recovered cultural identity and to endow itself with authentically popular institutions. Crowning the people's war by an independence paid for with the sacrifices of its best children, the National Liberation Front restores finally, in all its fullness, a modern and sovereign State. Its faith in the collective choices has permitted its people to achieve decisive victories, marked by the recovery of national riches and the construction of a State for its exclusive service, exercising its powers in all independence and security against external pressure. Having always fought for freedom and democracy, the people intends, by this Constitution, to endow itself with institutions based on the participation of citizens in the conduct of public affairs and which realize social justice, equality and liberty of each and all. In approving this Constitution, the work of its own genius, reflection of its aspirations, fruit of its determination and product of profound social mutations, the people expresses and consecrates more solemnly than ever the primacy of law. The Constitution is, above all, the fundamental law which guarantees the rights and the individual and collective liberties, protects the rule of free choice of the people and confers legitimacy on the exercise of powers. It helps to assure the juridical protection and the control of action by the public powers in a society in which legality reigns and permits the development of man in all dimensions. Strong in its spiritual values, deeply ingrained, and its traditions of solidarity and justice, the people is confident of its capacities to work fully for the cultural, social and economic progress of the world, today and tomorrow. Algeria, land of Islam, integral part of the Great Maghreb Arab country, Mediterranean and African, is honored by the radiance of its Revolution of November 1 and the respect which the country has sought to achieve and preserve by reason of its commitment to all the just causes of the world. The pride of the people, its sacrifices, its sense of responsibilities, its ancestral attachment to liberty and social justice are the best guarantees of the respect for the principles of this Constitution which it adopts and passes on to future generations, the worthy inheritors of the pioneers and the builders of a free society."
"andorra",1993,"The Andorran People, with full liberty and independence, and in the exercise of their own sovereignty, Conscious of the need to conform the institutional structure of Andorra to the new circumstances brought about by the evolution of the geographical, historical and sociocultural environment in which it is situated, as well as of the need to regulate the relations which the institutions dating back to the Pareatges. shall have within this new legal framework, Resolved of the need to be endowed with all the mechanisms leading to juridical security in the exercise of the fundamental rights of the individual, which, although always present and respected in the nature of Andorran society, have not received the protection of any kind of general laws, Eager to use every endeavour to promote values such as liberty, justice, democracy and social progress, and to keep and strengthen the harmonious relations of Andorra with the rest of the world, and especially with the neighbouring countries, on the basis of mutual respect, co-existence and peace, Willing to bring their collaboration and effort to all the common causes of mankind, and especially to those of preserving the integrity of the Earth and guaranteeing an environment fit for life for the coming generations, Desiring that the motto virtus, unita, fortior, which has presided over the peaceful journey of Andorra over its more than seven hundred years of history, may continue to be a completely valid principle and may always guide the conduct of Andorrans, Approve the present Constitution, in the exercise of their sovereignty."
"angola",2010,"We, the people of Angola, through its lawful representatives, the legislators of the nation, freely elected in the parliamentary elections of September 2008; Aware that these elections are part of the long tradition of the struggle of the Angolan people to achieve their citizenship and independence, proclaimed on 11 November 1975, the date on which the first Constitutional Law in the history of Angola came into force, and courageously preserved through collective sacrifice in the defence of national sovereignty and the territorial integrity of the country; Having received, by the said popular vote and under the provision contained in Article 158 of the Constitutional Law of 1992, the noble and irrefusable mandate to proceed with the drawing up and approval of the Constitution of the Republic of Angola; Conscious of the immense importance and great value invested in the creation and adoption of the first and fundamental law of the state and of Angolan society; Noting that the Constitution of the Republic of Angola is linked to, and a direct part of, the long and enduring struggle of the Angolan people, first to resist colonial occupation, then to achieve the independence and the dignity of a sovereign state, and later to build a democratic state based on the rule of law and a just society in Angola; Invoking the memory of our ancestors and calling upon the wisdom of the lessons of our shared history, our centuries-old roots and the cultures that have enriched our unity; Inspired by the best lessons in African tradition - the essence of Angolan culture and identity; Armed with a culture of tolerance and profoundly committed to reconciliation, equality, justice and development; Having decided to build a society based on equal opportunities, commitment, fraternity and unity in diversity; Determined to build together a just and progressive society that respects life, equality, diversity and human dignity; Remembering that the present Constitution represents the culmination of the constitutional transition initiated in 1991, following the passing of Law no. 12/91 by the Assembly of the People, enshrining multi-party democracy, guarantees of the fundamental rights and freedoms of citizens and a market economy, changes extended later by Constitutional Revision Law no 23/92; Reaffirming our commitment to the values and fundamental principles of the independence, sovereignty and the unity of a democratic state based on the rule of law, pluralism of political expression and organisation, the separation and balance between the powers of bodies that exercise sovereign power, the market economy and respect and guarantees for fundamental human rights and freedoms, which constitute the essential pillars supporting and structuring this Constitution; Aware that a Constitution such as this, due to its shared values, principles and norms, is an important factor in national unity and a powerful driving force for the development of the state and society; Solemnly striving to strictly fulfil and respect this Constitution and hoping that this may serve as a model for the behaviour of citizens, political forces and the whole of Angolan society; Invoking and paying homage to the memory of all our heroes and each and every Angola man and woman who lost their lives in the defence of the fatherland; Faithful to the deepest wishes of the Angolan people for stability, dignity, liberty, development and the building of a modern, prosperous, inclusive, democratic and just country; Committed to providing a legacy for future generations and to the exercise of our sovereignty; We hereby pass this Constitution as the Supreme and Fundamental Law of the Republic of Angola."
"antigua_and_barbuda",1981,"WHEREAS the People of Antigua and Barbuda- a. proclaim that they are a sovereign nation founded upon principles that acknowledge the supremacy of God, the dignity and worth of the human person, the entitlement of all persons to the fundamental rights and freedoms of the individual, the position of the family in a society of free men and women and free institutions; b. respect the principles of social justice and, therefore, believe that the operation of their economic system should result in the material resources of their community being so distributed as to serve the common good, that there should be adequate means of livelihood for all, that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit, ability and integrity; c. assert their conviction that their happiness and prosperity can best be pursued in a democratic society in which all persons may, to the extent of their capacity, play some part in the national life; d. recognize that the law symbolises the public conscience, that every citizen owes to it an undivided allegiance not to be limited by any private views of justice or expediency and that the State is subject to the law; e. desire to establish a framework of supreme law within which to guarantee their inalienable human rights and freedoms, among them, the rights to liberty, property, security and legal redress of grievances, as well as freedom of speech, of the press and of assembly, subject only to the public interest: NOW, THEREFORE, the following provisions shall have effect as the Constitution of Antigua and Barbuda:-"
"argentina",1853,"We, the representatives of the people of the Argentine Nation, assembled in General Constituent Congress by the will and election of the provinces which compose it, in fulfillment of pre-existing pacts, with the object of constituting the national union, ensuring justice, preserving domestic peace, providing for the common defense, promoting the general welfare, and securing the blessings of liberty to ourselves, to our posterity, and to all men in the world who wish to dwell on Argentine soil: invoking the protection of God, source of all reason and justice, do ordain, decree and establish this Constitution for the Argentine Nation."
"armenia",1995,"The Armenian People, recognizing as a basis the fundamental principles of the Armenian statehood and national aspirations engraved in the Declaration of Independence of Armenia, having fulfilled the sacred message of its freedom loving ancestors for the restoration of the sovereign state, committed to the strengthening and prosperity of the fatherland, to ensure the freedom, general well-being and civic harmony of future generations, declaring their faithfulness to universal values, hereby adopts the Constitution of the Republic of Armenia."
"azerbaijan",1995,"The Azerbaijan people, continuing the traditions of many centuries of their Statehood, guided by the principles which are reflected in the Constitutional Act on the State Independence of the Republic of Azerbaijan, wishing to provide welfare for all and everyone, and to establish justice, freedom, security, and being aware of their responsibility before past, present, and future generations, exercise their sovereign right by solemnly declaring the following goals: to protect the independence, sovereignty and the territorial integrity of the Republic of Azerbaijan; to guarantee the democratic system within the framework of the Constitution; to achieve the realization of a civil society; to establish a law-governed, secular state which assures the supremacy of the law as an expression of the will of the people; to assure to all a decent level of life in accordance with a just economic and social order; to live under conditions of friendship, peace and safety with other peoples, maintaining a commitment to general human values and to implement a mutually beneficial cooperation for these purposes. For the sake of the above stated high intentions, this Constitution shall be adopted through a nationwide referendum."
"bahamas",1973,"Whereas Four hundred and eighty-one years ago the rediscovery of this Family of Islands, Rocks and Cays heralded the rebirth of the New World; And Whereas the People of this Family of Islands recognizing that the preservation of their Freedom will be guaranteed by a national commitment to Self-discipline, Industry, Loyalty, Unity and an abiding respect for Christian values and the Rule of Law; Now Know Ye Therefore: We the Inheritors of and Successors to this Family of Islands, recognizing the Supremacy of God and believing in the Fundamental Rights and Freedoms of the Individual, Do Hereby Proclaim in Solemn Praise the Establishment of a Free and Democratic Sovereign Nation founded on Spiritual Values and in which no Man, Woman or Child shall ever be Slave or Bondsman to anyone or their Labour exploited or their Lives frustrated by deprivation, and do Hereby Provide by these Articles for the indivisible Unity and Creation under God of the Commonwealth of The Bahamas."
