"year","state","county","rep","dem","other"
1960,"alabama","autauga",1149,1324,89
1960,"alabama","baldwin",4812,5647,187
1960,"alabama","barbour",1166,2148,37
1960,"alabama","bibb",1052,1697,4
1960,"alabama","blount",2557,3404,19
1960,"alabama","bullock",412,757,6
1960,"alabama","butler",1231,2872,20
1960,"alabama","calhoun",4821,9590,218
1960,"alabama","chambers",1865,5165,117
1960,"alabama","cherokee",872,3097,9
1960,"alabama","chilton",3201,1798,19
1960,"alabama","choctaw",612,1094,97
1960,"alabama","clarke",2016,1878,92
1960,"alabama","clay",1548,1743,23
1960,"alabama","cleburne",1008,1510,12
1960,"alabama","coffee",1381,4470,23
1960,"alabama","colbert",2815,7550,211
1960,"alabama","conecuh",650,1815,100
1960,"alabama","coosa",1073,1493,19
1960,"alabama","covington",2047,5744,42
1960,"alabama","crenshaw",573,2923,7
1960,"alabama","cullman",4248,6346,22
1960,"alabama","dale",1634,2563,54
1960,"alabama","dallas",2872,2103,234
1960,"alabama","dekalb",5585,5844,30
1960,"alabama","elmore",1919,3440,79
1960,"alabama","escambia",1810,3990,113
1960,"alabama","etowah",7128,14372,375
1960,"alabama","fayette",1923,2274,17
1960,"alabama","franklin",4069,3422,39
1960,"alabama","geneva",1502,3050,11
1960,"alabama","greene",381,723,21
1960,"alabama","hale",741,1309,13
1960,"alabama","henry",588,2115,17
1960,"alabama","houston",4055,3897,85
1960,"alabama","jackson",2036,4789,46
1960,"alabama","jefferson",60004,44369,2073
1960,"alabama","lamar",964,2386,64
1960,"alabama","lauderdale",3570,8565,244
1960,"alabama","lawrence",1365,2929,13
1960,"alabama","lee",2301,3759,54
1960,"alabama","limestone",991,4147,11
1960,"alabama","lowndes",432,796,13
1960,"alabama","macon",877,1327,27
1960,"alabama","madison",5299,10959,203
1960,"alabama","marengo",1235,1436,150
1960,"alabama","marion",2938,3099,27
1960,"alabama","marshall",3398,6595,19
1960,"alabama","mobile",24608,28626,1438
1960,"alabama","monroe",989,2130,38
1960,"alabama","montgomery",11778,9421,374
1960,"alabama","morgan",4357,7822,50
1960,"alabama","perry",744,973,78
1960,"alabama","pickens",1277,1836,47
1960,"alabama","pike",1006,3421,25
1960,"alabama","randolph",1697,3175,43
1960,"alabama","russell",1770,3480,61
1960,"alabama","st clair",2589,3039,25
1960,"alabama","shelby",3157,3225,61
1960,"alabama","sumter",623,765,76
1960,"alabama","talladega",4723,5729,99
1960,"alabama","tallapoosa",2150,5460,48
1960,"alabama","tuscaloosa",5598,8254,244
1960,"alabama","walker",5463,8109,0
1960,"alabama","washington",792,1929,69
1960,"alabama","wilcox",513,905,7
1960,"alabama","winston",3421,1681,6
1960,"arizona","apache",1568,1459,3
1960,"arizona","cochise",7572,7419,16
1960,"arizona","coconino",4870,4065,9
1960,"arizona","gila",3806,5251,8
1960,"arizona","graham",2491,2091,1
1960,"arizona","greenlee",1313,3069,4
1960,"arizona","maricopa",127090,86834,135
1960,"arizona","mohave",1641,1303,8
1960,"arizona","navajo",4090,3052,9
1960,"arizona","pima",46734,42171,239
1960,"arizona","pinal",6441,7232,11
1960,"arizona","santa cruz",1265,1868,2
1960,"arizona","yavapai",6813,4325,9
1960,"arizona","yuma",5547,6642,15
1960,"arkansas","arkansas",2043,2789,486
1960,"arkansas","ashley",1288,3118,620
1960,"arkansas","baxter",2108,1694,77
1960,"arkansas","benton",7832,3619,139
1960,"arkansas","boone",3388,2774,71
1960,"arkansas","bradley",873,2960,377
1960,"arkansas","calhoun",295,1151,152
1960,"arkansas","carroll",2615,1301,49
1960,"arkansas","chicot",979,1803,269
1960,"arkansas","clark",1357,3295,431
1960,"arkansas","clay",2543,1908,117
1960,"arkansas","cleburne",1026,1144,112
1960,"arkansas","cleveland",290,1216,209
1960,"arkansas","columbia",2372,2427,806
1960,"arkansas","conway",1685,2900,211
1960,"arkansas","craighead",5258,4898,582
1960,"arkansas","crawford",3373,2430,104
1960,"arkansas","crittenden",2234,2679,215
1960,"arkansas","cross",1287,2088,240
1960,"arkansas","dallas",659,1639,317
1960,"arkansas","desha",1063,2502,371
1960,"arkansas","drew",889,2107,376
1960,"arkansas","faulkner",2426,3820,363
1960,"arkansas","franklin",1631,2025,95
1960,"arkansas","fulton",1127,703,19
1960,"arkansas","garland",7204,6333,407
1960,"arkansas","grant",563,1394,312
1960,"arkansas","greene",2658,2774,137
1960,"arkansas","hempstead",1948,2596,215
1960,"arkansas","hot spring",1732,3454,668
1960,"arkansas","howard",1225,1366,144
1960,"arkansas","independence",2639,2487,163
1960,"arkansas","izard",808,1340,100
1960,"arkansas","jackson",1986,2860,313
1960,"arkansas","jefferson",4839,8442,1954
1960,"arkansas","johnson",1490,1938,95
1960,"arkansas","lafayette",713,1286,326
1960,"arkansas","lawrence",1800,2074,191
1960,"arkansas","lee",1034,1409,258
1960,"arkansas","lincoln",626,1780,240
1960,"arkansas","little river",692,1514,117
1960,"arkansas","logan",2014,2636,114
1960,"arkansas","lonoke",1560,2991,797
1960,"arkansas","madison",2445,1702,54
1960,"arkansas","marion",1016,968,24
1960,"arkansas","miller",3113,4550,454
1960,"arkansas","mississippi",4983,5138,464
1960,"arkansas","monroe",833,1856,379
1960,"arkansas","montgomery",836,788,53
1960,"arkansas","nevada",937,1605,209
1960,"arkansas","newton",1814,844,29
1960,"arkansas","ouachita",2439,5169,584
1960,"arkansas","perry",501,789,95
1960,"arkansas","phillips",2168,4105,404
1960,"arkansas","pike",1013,997,92
1960,"arkansas","poinsett",2430,2817,197
1960,"arkansas","polk",1882,1635,115
1960,"arkansas","pope",2573,2760,256
1960,"arkansas","prairie",734,1680,222
1960,"arkansas","pulaski",22146,26034,7608
1960,"arkansas","randolph",1620,1556,102
1960,"arkansas","st francis",1786,2432,300
1960,"arkansas","saline",2195,3898,698
1960,"arkansas","scott",1137,1116,11
1960,"arkansas","searcy",2297,1022,32
1960,"arkansas","sebastian",11744,8726,226
1960,"arkansas","sevier",1141,1580,114
1960,"arkansas","sharp",911,807,68
1960,"arkansas","stone",959,897,87
1960,"arkansas","union",5631,6500,1434
1960,"arkansas","van buren",1009,1158,100
1960,"arkansas","washington",10088,5391,200
1960,"arkansas","white",3985,5244,605
1960,"arkansas","woodruff",667,1613,255
1960,"arkansas","yell",1303,2008,122
1960,"california","alameda",183354,217172,1474
1960,"california","alpine",132,40,0
1960,"california","amador",2175,2690,22
1960,"california","butte",20838,15163,174
1960,"california","calaveras",2820,2509,32
1960,"california","colusa",2497,2348,16
1960,"california","contra costa",82922,93622,579
1960,"california","del norte",3024,3225,45
1960,"california","el dorado",6065,6175,97
1960,"california","fresno",57930,72164,608
1960,"california","glenn",3911,3410,35
1960,"california","humboldt",18074,20391,226
1960,"california","imperial",10606,9119,81
1960,"california","inyo",2962,2443,15
1960,"california","kern",52800,51440,465
1960,"california","kings",6991,9439,92
1960,"california","lake",4176,2897,36
1960,"california","lassen",2365,3472,40
1960,"california","los angeles",1302661,1323818,8020
1960,"california","madera",5869,8126,62
1960,"california","marin",37620,27888,157
1960,"california","mariposa",1599,1338,26
1960,"california","mendocino",9301,9476,94
1960,"california","merced",11990,15545,111
1960,"california","modoc",1839,1691,20
1960,"california","mono",912,457,6
1960,"california","monterey",33428,25805,180
1960,"california","napa",15125,13499,154
1960,"california","nevada",5419,4633,89
1960,"california","orange",174891,112007,701
1960,"california","placer",10439,13304,120
1960,"california","plumas",2015,3333,30
1960,"california","riverside",65855,50877,544
1960,"california","sacramento",84252,109695,809
1960,"california","san benito",3056,2876,13
1960,"california","san bernardino",99481,90888,944
1960,"california","san diego",223056,171259,1106
1960,"california","san francisco",143001,197734,1484
1960,"california","san joaquin",48441,42855,361
1960,"california","san luis obispo",17862,14975,218
1960,"california","san mateo",104570,97154,528
1960,"california","santa barbara",38805,29409,188
1960,"california","santa clara",131735,117667,690
1960,"california","santa cruz",24858,16659,187
1960,"california","shasta",9462,14691,148
1960,"california","sierra",576,647,8
1960,"california","siskiyou",6279,8245,96
1960,"california","solano",18751,26977,141
1960,"california","sonoma",34641,29147,244
1960,"california","stanislaus",30213,30302,375
1960,"california","sutter",7520,4379,55
1960,"california","tehama",5522,5483,47
1960,"california","trinity",1418,2262,18
1960,"california","tulare",29456,24887,239
1960,"california","tuolumne",3691,3781,44
1960,"california","ventura",35074,35334,315
1960,"california","yolo",10104,12395,90
1960,"california","yuba",5293,4882,58
1960,"colorado","adams",18452,21168,178
1960,"colorado","alamosa",2271,1811,4
1960,"colorado","arapahoe",26379,17400,137
1960,"colorado","archuleta",489,567,1
1960,"colorado","baca",1815,952,5
1960,"colorado","bent",1671,1228,5
1960,"colorado","boulder",19791,12276,130
1960,"colorado","chaffee",2094,1918,4
1960,"colorado","cheyenne",806,419,2
1960,"colorado","clear creek",964,688,0
1960,"colorado","conejos",1367,2069,87
1960,"colorado","costilla",637,1351,13
1960,"colorado","crowley",1099,705,1
1960,"colorado","custer",509,314,0
1960,"colorado","delta",4644,2689,10
1960,"colorado","denver",109446,109637,1618
1960,"colorado","dolores",476,386,0
1960,"colorado","douglas",1490,823,0
1960,"colorado","eagle",989,880,2
1960,"colorado","elbert",1240,686,2
1960,"colorado","el paso",31625,17018,61
1960,"colorado","fremont",5690,3730,34
1960,"colorado","garfield",3215,2313,11
1960,"colorado","gilpin",315,223,0
1960,"colorado","grand",1104,657,2
1960,"colorado","gunnison",1296,1044,3
1960,"colorado","hinsdale",138,82,0
1960,"colorado","huerfano",1367,2673,13
1960,"colorado","jackson",504,360,1
1960,"colorado","jefferson",34105,22962,137
1960,"colorado","kiowa",865,498,1
1960,"colorado","kit carson",2248,1103,10
1960,"colorado","lake",954,1842,7
1960,"colorado","la plata",4772,3329,10
1960,"colorado","larimer",15671,7550,34
1960,"colorado","las animas",2989,6704,29
1960,"colorado","lincoln",1498,1041,3
1960,"colorado","logan",5002,3334,5
1960,"colorado","mesa",13015,9072,45
1960,"colorado","mineral",146,158,1
1960,"colorado","moffat",1754,1200,3
1960,"colorado","montezuma",2778,2115,7
1960,"colorado","montrose",4040,2861,24
1960,"colorado","morgan",5092,3151,16
1960,"colorado","otero",6015,4199,15
1960,"colorado","ouray",508,432,0
1960,"colorado","park",642,438,2
1960,"colorado","phillips",1455,862,1
1960,"colorado","pitkin",679,488,0
1960,"colorado","prowers",3567,2457,6
1960,"colorado","pueblo",20579,27421,582
1960,"colorado","rio blanco",1391,794,3
1960,"colorado","rio grande",2524,1782,6
1960,"colorado","routt",1651,1414,2
1960,"colorado","saguache",956,984,9
1960,"colorado","san juan",218,261,3
1960,"colorado","san miguel",525,612,2
1960,"colorado","sedgwick",1230,769,4
1960,"colorado","summit",424,400,3
1960,"colorado","teller",723,622,4
1960,"colorado","washington",1979,1039,4
1960,"colorado","weld",17558,11179,53
1960,"colorado","yuma",2806,1489,10
1960,"connecticut","fairfield",167778,146442,6
1960,"connecticut","hartford",136459,195403,2
1960,"connecticut","litchfield",34043,29062,3
1960,"connecticut","middlesex",22045,22158,1
1960,"connecticut","new haven",136852,188685,2
1960,"connecticut","new london",38070,40625,1
1960,"connecticut","tolland",15386,14575,0
1960,"connecticut","windham",15180,20105,0
1960,"delaware","kent",10697,10754,165
1960,"delaware","new castle",69284,73364,326
1960,"delaware","sussex",16392,15472,229
1960,"florida","alachua",10072,9279,0
1960,"florida","baker",398,1469,0
1960,"florida","bay",5435,10579,0
1960,"florida","bradford",1131,2535,0
1960,"florida","brevard",17585,11069,0
1960,"florida","broward",68294,47811,0
1960,"florida","calhoun",634,1594,0
1960,"florida","charlotte",3026,1941,0
1960,"florida","citrus",1861,1730,0
1960,"florida","clay",2515,2728,0
1960,"florida","collier",2708,1750,0
1960,"florida","columbia",2094,3695,0
1960,"florida","desoto",1687,1680,0
1960,"florida","dixie",392,976,0
1960,"florida","duval",59073,70091,0
1960,"florida","escambia",17925,28288,0
1960,"florida","flagler",426,933,0
1960,"florida","franklin",764,1494,0
1960,"florida","gadsden",2010,2343,0
1960,"florida","gilchrist",277,834,0
1960,"florida","glades",314,394,0
1960,"florida","gulf",657,2348,0
1960,"florida","hamilton",656,1331,0
1960,"florida","hardee",1960,1741,0
1960,"florida","hendry",1043,1307,0
1960,"florida","hernando",1809,1960,0
1960,"florida","highlands",4369,3122,0
1960,"florida","hillsborough",48887,62240,0
1960,"florida","holmes",1235,2370,0
1960,"florida","indian river",4656,2970,0
1960,"florida","jackson",2851,5994,0
1960,"florida","jefferson",600,1129,0
1960,"florida","lafayette",297,793,0
1960,"florida","lake",12979,4936,0
1960,"florida","lee",10357,5494,0
1960,"florida","leon",9079,10433,0
1960,"florida","levy",996,2003,0
1960,"florida","liberty",243,862,0
1960,"florida","madison",1152,2084,0
1960,"florida","manatee",16462,8814,0
1960,"florida","marion",7043,7206,0
1960,"florida","martin",3701,2664,0
1960,"florida","dade",134506,183114,0
1960,"florida","monroe",3416,6972,0
1960,"florida","nassau",1666,3282,0
1960,"florida","okaloosa",4685,8263,0
1960,"florida","okeechobee",631,1125,0
1960,"florida","orange",48244,19729,0
1960,"florida","osceola",4691,2178,0
1960,"florida","palm beach",45337,29871,0
1960,"florida","pasco",7188,5832,0
1960,"florida","pinellas",101779,58054,0
1960,"florida","polk",31618,23546,0
1960,"florida","putnam",4236,4459,0
1960,"florida","st johns",4125,5583,0
1960,"florida","st lucie",6354,5360,0
1960,"florida","santa rosa",2777,4960,0
1960,"florida","sarasota",19995,8287,0
1960,"florida","seminole",8936,4891,0
1960,"florida","sumter",1120,2279,0
1960,"florida","suwannee",1536,2789,0
1960,"florida","taylor",1212,1908,0
1960,"florida","union",311,941,0
1960,"florida","volusia",28367,23377,0
1960,"florida","wakulla",379,1146,0
1960,"florida","walton",1484,3642,0
1960,"florida","washington",1230,2098,0
1960,"georgia","appling",717,1973,0
1960,"georgia","atkinson",239,1298,0
1960,"georgia","bacon",579,1168,0
1960,"georgia","baker",66,720,0
1960,"georgia","baldwin",1264,2262,0
1960,"georgia","banks",221,1170,0
1960,"georgia","barrow",577,2759,0
1960,"georgia","bartow",1292,3545,0
1960,"georgia","ben hill",558,1881,0
1960,"georgia","berrien",368,2787,0
1960,"georgia","bibb",10523,14387,0
1960,"georgia","bleckley",633,1751,0
1960,"georgia","brantley",344,1333,0
1960,"georgia","brooks",765,1500,0
1960,"georgia","bryan",428,1323,0
1960,"georgia","bulloch",1506,3373,0
1960,"georgia","burke",1027,1162,0
1960,"georgia","butts",382,1673,0
1960,"georgia","calhoun",131,803,0
1960,"georgia","camden",950,1321,0
1960,"georgia","candler",433,943,0
1960,"georgia","carroll",1729,4698,0
1960,"georgia","catoosa",2074,2114,0
1960,"georgia","charlton",289,733,0
1960,"georgia","chatham",17935,16240,0
1960,"georgia","chattahoochee",66,190,0
1960,"georgia","chattooga",1596,3686,0
1960,"georgia","cherokee",2341,3077,0
1960,"georgia","clarke",2250,4812,0
1960,"georgia","clay",84,528,0
1960,"georgia","clayton",2953,5892,0
1960,"georgia","clinch",397,898,0
1960,"georgia","cobb",8240,12906,0
1960,"georgia","coffee",987,3376,0
1960,"georgia","colquitt",1685,4397,0
1960,"georgia","columbia",1155,1190,0
1960,"georgia","cook",399,1935,0
1960,"georgia","coweta",1159,3855,0
1960,"georgia","crawford",203,797,0
1960,"georgia","crisp",963,2365,0
1960,"georgia","dade",909,943,0
1960,"georgia","dawson",401,916,0
1960,"georgia","decatur",918,2780,0
1960,"georgia","dekalb",24046,24116,0
1960,"georgia","dodge",1134,3630,0
1960,"georgia","dooly",220,1733,0
1960,"georgia","dougherty",4323,4522,0
1960,"georgia","douglas",1136,2576,0
1960,"georgia","early",254,1904,0
1960,"georgia","echols",108,257,0
1960,"georgia","effingham",885,880,0
1960,"georgia","elbert",609,3672,0
1960,"georgia","emanuel",1120,2513,0
1960,"georgia","evans",567,1069,0
1960,"georgia","fannin",3022,1579,0
1960,"georgia","fayette",359,1198,0
1960,"georgia","floyd",6108,7350,0
1960,"georgia","forsyth",841,2309,0
1960,"georgia","franklin",308,3209,0
1960,"georgia","fulton",53940,55803,0
1960,"georgia","gilmer",1850,1472,0
1960,"georgia","glascock",180,299,0
1960,"georgia","glynn",2926,3584,0
1960,"georgia","gordon",1148,2153,0
1960,"georgia","grady",592,2541,0
1960,"georgia","greene",328,1979,0
1960,"georgia","gwinnett",2336,6479,0
1960,"georgia","habersham",895,2530,0
1960,"georgia","hall",2903,6303,0
1960,"georgia","hancock",286,780,0
1960,"georgia","haralson",1869,2783,0
1960,"georgia","harris",735,1362,0
1960,"georgia","hart",275,3963,0
1960,"georgia","heard",181,1224,0
1960,"georgia","henry",1041,2957,0
1960,"georgia","houston",1757,4033,0
1960,"georgia","irwin",352,1625,0
1960,"georgia","jackson",472,3653,0
1960,"georgia","jasper",271,949,0
1960,"georgia","jeff davis",402,825,0
1960,"georgia","jefferson",986,1270,0
1960,"georgia","jenkins",313,1354,0
1960,"georgia","johnson",488,1298,0
1960,"georgia","jones",489,1415,0
1960,"georgia","lamar",479,1363,0
1960,"georgia","lanier",198,1049,0
1960,"georgia","laurens",1884,4648,0
1960,"georgia","lee",191,404,0
1960,"georgia","liberty",929,1590,0
1960,"georgia","lincoln",197,669,0
1960,"georgia","long",898,278,0
1960,"georgia","lowndes",2908,3605,0
1960,"georgia","lumpkin",495,875,0
1960,"georgia","mcduffie",1039,1079,0
