"FAMILY","ACCIAIUOL","ALBIZZI","BARBADORI","BISCHERI","CASTELLAN","GINORI","GUADAGNI","LAMBERTES","MEDICI","PAZZI","PERUZZI","PUCCI","RIDOLFI","SALVIATI","STROZZI","TORNABUON"
"ACCIAIUOL",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ALBIZZI",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BARBADORI",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"BISCHERI",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"CASTELLAN",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"GINORI",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUADAGNI",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"LAMBERTES",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MEDICI",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
"PAZZI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PERUZZI",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"PUCCI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIDOLFI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"SALVIATI",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"STROZZI",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"TORNABUON",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
