"self","alison","jane","moses","china","age"
1,5,5,2,0,31
1,1,5,5,0,54
2,3,1,1,0,50
2,4,2,1,0,22
2,3,3,3,0,52
1,3,1,5,0,50
1,1,1,1,0,35
4,4,4,5,0,56
3,2,1,2,0,53
1,3,1,1,0,22
1,1,1,1,0,32
3,3,5,1,0,27
1,1,1,1,0,18
2,3,3,3,0,82
2,3,4,4,0,22
1,5,3,4,0,21
1,1,1,1,0,67
1,4,5,5,0,34
4,4,1,1,0,45
1,4,1,1,0,39
5,4,4,5,0,44
1,5,5,2,0,22
1,2,1,1,0,51
1,3,1,2,0,25
1,2,1,1,0,44
1,1,1,1,0,27
2,4,2,1,0,39
1,1,2,1,0,37
1,2,2,2,0,88
2,3,2,2,0,32
2,2,1,1,0,30
2,3,2,1,0,21
2,4,2,1,0,56
1,4,2,5,0,55
4,4,2,3,0,39
1,4,3,5,0,27
2,3,1,1,0,50
2,4,1,2,0,37
2,2,2,1,0,31
1,3,1,1,0,48
2,3,2,1,0,36
1,4,1,1,0,52
1,4,2,2,0,45
3,1,3,2,0,67
1,2,1,1,0,46
1,1,2,1,0,48
3,2,2,2,0,22
3,2,2,1,0,32
3,3,3,5,0,18
1,2,2,2,0,42
2,3,4,1,0,45
1,2,1,1,0,23
1,2,2,1,0,29
4,2,4,4,0,32
1,3,2,2,0,60
2,2,2,2,0,42
2,1,1,1,0,24
2,2,2,2,0,32
3,3,2,1,0,28
1,3,2,1,0,20
1,3,1,2,0,30
2,2,5,1,0,33
1,3,1,2,0,49
2,3,1,1,0,37
1,3,2,1,0,36
1,3,2,1,0,30
1,3,2,2,0,69
2,4,4,5,0,50
2,4,5,2,0,22
1,1,1,1,0,72
1,3,1,2,0,30
5,5,1,5,0,21
1,3,4,1,0,43
1,1,1,1,0,42
1,2,3,1,0,46
2,1,4,5,0,72
2,3,2,1,0,22
1,2,2,1,0,35
1,3,1,1,0,22
1,5,1,3,0,52
1,3,2,1,0,49
2,3,5,5,0,33
2,1,1,1,0,22
2,3,5,2,0,39
1,4,2,1,0,30
3,4,1,1,0,35
1,5,2,1,0,54
1,1,1,2,0,38
1,4,2,2,0,31
2,2,2,2,0,26
3,3,2,1,0,35
1,2,1,2,0,27
3,2,2,2,0,27
1,3,2,1,0,58
1,2,5,1,0,34
1,3,2,1,0,18
3,4,2,1,0,41
1,2,2,1,0,21
1,2,1,1,0,25
1,2,2,5,0,56
1,1,1,1,0,34
2,3,3,1,0,36
1,2,2,1,0,49
5,3,2,2,0,53
1,2,2,1,0,23
2,2,2,4,0,26
1,2,2,1,0,21
2,1,2,2,0,22
1,3,1,1,0,23
2,3,2,2,0,20
1,2,2,1,0,20
2,1,1,1,0,28
1,1,1,1,0,27
1,3,1,1,0,26
3,1,1,1,0,60
2,3,1,1,0,31
2,1,1,1,0,29
1,3,2,3,0,24
2,2,2,1,0,52
1,4,2,2,0,27
1,4,3,2,0,67
1,1,1,1,0,68
1,1,5,5,0,24
2,3,1,1,0,19
3,2,2,1,0,29
2,1,3,2,0,33
2,3,1,1,0,27
1,3,3,2,0,40
2,1,1,1,0,56
1,4,5,5,0,22
2,5,3,1,0,46
1,2,2,1,0,27
2,1,4,4,0,20
1,3,2,2,0,42
3,1,2,1,0,21
1,1,1,1,0,22
1,2,3,5,0,41
1,3,5,1,0,38
1,2,5,1,0,33
2,3,3,2,0,20
1,4,1,1,0,41
2,4,5,1,0,21
1,2,5,2,0,26
3,5,2,1,0,26
1,5,1,2,0,27
1,3,2,1,0,26
1,2,3,2,0,45
2,2,1,2,0,48
1,2,4,2,0,58
2,4,3,3,0,48
2,2,1,1,0,52
1,5,4,1,0,33
3,3,2,1,0,41
3,4,2,1,0,19
1,3,2,2,0,19
2,3,4,5,0,54
5,5,2,1,0,42
1,3,3,2,0,27
1,3,2,1,0,44
1,3,2,2,0,75
1,3,1,3,0,26
1,3,2,1,0,48
2,2,1,1,0,63
2,3,1,1,0,35
1,3,1,1,0,42
5,4,3,1,0,31
1,1,2,1,0,29
3,2,2,2,0,36
2,4,1,1,0,28
1,4,5,1,0,32
3,3,2,2,0,42
2,2,2,4,0,66
5,3,1,2,0,48
1,1,1,2,0,64
2,3,2,2,0,33
1,2,2,2,0,73
4,3,4,2,0,34
1,2,1,1,0,46
1,3,1,1,0,40
1,4,2,2,0,26
1,3,2,2,0,29
1,2,5,1,0,49
1,3,3,1,0,31
1,3,2,2,0,28
1,2,1,1,0,22
4,4,2,2,0,67
2,2,5,1,0,35
1,1,2,2,0,22
1,3,1,1,0,53
3,3,2,1,0,46
1,3,2,1,0,37
1,2,1,1,0,22
1,2,2,1,0,45
1,2,1,1,0,20
1,3,1,1,0,18
4,4,1,1,0,26
2,2,2,2,0,59
1,5,1,2,0,51
1,3,1,1,0,71
1,2,2,2,0,31
1,2,2,1,0,23
1,2,1,1,0,20
2,2,1,1,0,26
2,3,2,2,0,55
1,3,1,2,0,67
1,3,1,1,0,31
1,2,1,1,0,23
5,1,1,1,0,34
1,2,2,2,0,58
2,1,4,3,0,32
1,2,2,1,0,34
3,2,1,2,0,35
1,1,1,1,0,31
1,3,1,1,0,39
2,3,2,1,0,40
1,4,1,1,0,31
5,2,2,2,0,42
1,3,3,3,0,39
1,3,2,3,0,48
2,3,2,2,0,34
3,2,1,2,0,31
2,4,1,1,0,38
3,4,5,3,0,28
1,2,1,1,0,37
1,4,2,1,0,37
2,3,3,5,0,18
2,3,2,1,0,29
2,2,2,3,0,20
1,1,1,1,0,59
2,2,1,1,0,42
3,4,2,2,0,34
1,3,1,2,0,36
1,4,3,2,0,24
1,2,3,2,0,37
3,3,2,4,0,18
1,3,2,1,0,85
3,4,5,2,0,23
1,3,1,2,0,33
2,2,2,2,0,28
4,4,2,1,0,18
1,3,1,1,0,47
2,3,2,1,0,29
5,4,1,1,0,34
2,2,4,3,0,58
1,3,2,2,0,62
5,1,1,5,0,43
2,2,1,1,0,28
1,5,2,1,0,34
1,2,2,1,0,32
2,3,1,1,0,38
1,2,1,2,0,20
5,5,5,5,0,35
1,2,1,1,0,61
1,1,1,5,0,25
1,3,2,1,0,42
1,2,5,1,0,18
1,5,1,2,0,35
2,2,5,2,0,67
1,1,1,1,0,45
2,4,2,1,0,38
2,3,2,2,0,32
2,3,2,1,0,43
3,4,1,3,0,23
1,1,1,1,0,32
2,3,5,1,0,31
2,3,1,1,0,25
3,3,4,3,0,62
5,4,1,1,0,38
1,4,1,1,0,65
2,2,2,1,0,29
2,3,2,1,0,29
5,3,1,1,0,25
5,2,2,2,0,30
1,3,3,3,0,48
2,4,5,5,0,27
4,3,5,1,0,30
1,2,1,1,0,34
1,4,2,1,0,36
3,3,1,5,0,26
2,2,2,2,0,53
2,5,2,2,0,36
1,3,2,1,0,28
1,3,5,5,0,72
2,4,2,2,0,30
2,3,1,2,0,44
1,1,5,1,0,42
2,3,3,1,0,26
5,3,3,3,0,39
1,3,5,1,0,25
1,3,3,2,0,42
2,2,2,5,0,44
2,4,1,1,0,50
1,3,1,3,0,18
3,3,2,2,0,37
2,3,1,2,0,22
1,1,1,1,0,48
3,3,3,5,0,38
2,3,2,2,0,39
3,3,3,3,0,33
1,1,1,1,0,46
1,2,1,2,0,29
1,4,2,1,0,28
5,5,2,1,0,71
2,5,1,1,0,30
5,3,3,5,0,35
1,3,1,1,0,44
3,4,1,1,0,39
2,3,2,1,0,28
1,1,1,2,0,59
3,4,1,1,0,52
3,3,1,2,0,39
1,2,1,1,0,23
2,3,1,1,0,34
1,3,1,1,0,19
1,3,3,1,0,40
2,2,5,1,0,37
1,2,2,1,0,50
4,1,2,2,0,24
1,3,4,2,0,23
2,4,1,1,0,53
1,3,1,1,0,42
1,2,1,1,0,29
1,3,1,2,0,32
5,5,5,5,0,43
3,3,2,1,0,63
3,2,3,1,0,27
1,2,2,1,0,65
1,3,2,1,0,48
1,3,1,3,0,42
1,2,2,3,0,35
1,2,1,1,0,36
2,2,5,2,0,52
1,5,2,1,0,32
2,3,1,1,0,53
1,2,1,1,0,51
5,3,1,5,0,35
1,3,1,2,0,52
1,2,1,1,0,27
2,5,1,1,0,44
1,4,1,1,0,50
2,3,1,2,0,35
1,1,1,2,0,35
1,1,1,1,0,21
1,1,1,1,0,26
1,3,1,1,0,37
1,3,1,1,0,42
2,3,1,2,0,43
1,1,1,1,0,42
1,4,2,1,0,42
1,3,1,2,0,42
1,3,1,1,0,42
2,2,1,2,0,20
5,3,1,1,0,42
1,3,3,3,0,23
1,3,1,1,0,49
1,3,2,2,0,70
1,1,1,1,0,49
3,3,1,2,0,43
2,5,5,2,0,25
1,4,1,1,0,32
1,3,1,1,0,51
2,3,2,1,0,28
2,3,2,2,0,18
1,1,1,1,0,19
1,4,1,1,0,50
3,1,1,1,0,58
1,1,1,1,0,56
5,5,2,1,0,52
2,3,1,1,0,47
2,3,5,1,0,28
1,5,2,5,0,25
1,1,1,3,0,68
1,3,3,2,0,58
1,1,1,1,0,46
3,3,1,1,0,43
1,2,2,1,0,57
2,3,1,1,0,22
2,4,3,1,0,27
2,2,1,1,0,27
2,2,1,1,0,60
2,3,4,1,0,36
3,3,1,1,0,41
1,4,1,3,0,22
1,4,1,1,0,24
3,3,2,1,0,28
2,2,2,1,0,66
1,1,1,1,0,26
2,4,2,1,0,40
3,2,1,2,0,61
2,3,1,1,0,55
2,2,2,1,0,59
2,2,1,1,0,50
2,5,1,1,0,20
1,3,1,1,0,36
2,1,1,1,0,30
1,4,1,2,0,36
2,2,2,5,0,25
2,4,3,3,0,65
2,3,2,2,0,46
1,4,1,2,0,34
5,4,5,1,0,41
1,3,2,1,0,23
2,3,2,2,0,33
3,3,2,1,0,31
1,3,1,1,0,21
5,3,5,5,0,44
1,2,2,1,0,25
2,2,3,2,0,35
1,3,1,1,0,23
3,4,1,2,0,28
3,3,2,1,0,26
2,3,1,1,0,49
3,3,2,1,0,59
3,4,1,2,0,21
1,3,1,1,0,34
1,3,1,1,0,39
1,5,5,5,0,38
2,2,2,4,0,21
1,3,1,1,0,33
1,3,1,1,0,55
1,2,3,1,0,55
3,4,1,1,0,31
4,3,1,1,0,43
2,2,4,4,0,27
1,2,1,1,0,86
2,2,3,4,0,19
1,1,2,1,0,48
1,1,1,1,0,47
4,5,4,4,0,33
1,5,2,1,0,28
2,2,3,2,0,20
5,3,5,1,0,23
1,5,5,2,0,22
1,2,2,1,0,42
1,2,1,1,0,44
1,3,2,2,0,29
5,4,5,5,0,36
2,2,3,2,0,27
2,2,1,2,0,42
2,2,2,1,0,27
1,1,2,2,0,18
3,3,1,1,0,30
2,3,4,2,0,70
2,3,1,1,0,26
1,5,2,5,0,23
1,3,2,2,0,69
1,1,2,1,0,24
1,1,2,1,0,25
1,2,3,1,0,22
2,2,3,4,0,26
1,3,1,5,0,46
2,5,1,1,0,69
1,4,2,1,0,50
3,2,2,2,0,20
1,1,1,1,0,24
5,4,1,1,0,38
2,2,2,2,0,41
3,2,1,1,0,41
1,1,1,1,0,60
3,3,4,3,0,22
1,1,2,1,0,32
2,4,2,5,0,70
1,2,1,1,0,56
5,5,2,5,0,26
2,4,3,4,0,40
2,2,1,4,0,38
2,3,2,1,0,50
1,3,2,1,0,23
2,2,2,1,0,28
1,2,1,1,0,36
1,4,4,2,0,35
