"id","journal","DV","IV","max.h"
1,NA,"Unwritten","Null",12
2,"COMMUNICATION","Published, non top","Weak",9
3,"OTHER","Published, non top","Strong",38
4,"OTHER","Published, non top","Strong",9
5,"PSYCHOLOGY","Published, non top","Strong",2
6,"COMMUNICATION","Published, non top","Weak",5
8,NA,"Unpublished","Weak",4
10,NA,"Unpublished","Weak",15
11,"POLITICAL SCIENCE","Published, top","Strong",13
12,NA,"Unwritten","Weak",31
13,"POLITICAL SCIENCE","Published, non top","Strong",10
14,"POLITICAL SCIENCE","Published, top","Strong",23
15,"COMMUNICATION","Published, top","Strong",46
16,"PSYCHOLOGY","Published, top","Weak",18
18,NA,"Unwritten","Strong",24
19,NA,"Unwritten","Strong",38
20,"COMMUNICATION","Published, top","Strong",75
21,"POLITICAL SCIENCE","Published, non top","Weak",22
22,NA,"Unwritten","Null",116
23,"PSYCHOLOGY","Published, non top","Strong",31
25,NA,"Unpublished","Strong",39
26,"OTHER","Published, non top","Strong",5
27,"POLITICAL SCIENCE","Published, non top","Strong",16
30,NA,"Unpublished","Strong",14
31,NA,"Unpublished","Null",20
32,"PSYCHOLOGY","Published, top","Strong",6
33,"POLITICAL SCIENCE","Published, top","Strong",20
34,NA,"Unpublished","Weak",6
35,NA,"Unwritten","Strong",36
37,"OTHER","Published, non top","Weak",17
38,NA,"Unpublished","Strong",3
39,NA,"Unpublished","Weak",6
40,NA,"Unpublished","Strong",4
41,NA,"Unpublished","Weak",1
42,"OTHER","Published, non top","Weak",25
44,"OTHER","Published, non top","Strong",60
45,NA,"Unwritten","Null",18
46,"POLITICAL SCIENCE","Published, non top","Null",33
47,NA,"Unpublished","Null",17
48,NA,"Unpublished","Strong",2
49,"COMMUNICATION","Published, top","Strong",11
50,"POLITICAL SCIENCE","Published, non top","Weak",7
51,NA,"Unpublished","Weak",6
55,NA,"Unpublished","Strong",10
56,NA,"Unwritten","Null",12
57,"OTHER","Published, non top","Strong",38
58,NA,"Unpublished","Strong",19
60,NA,"Unpublished","Strong",55
61,NA,"Unpublished","Weak",6
62,NA,"Unwritten","Strong",3
63,NA,"Unpublished","Strong",19
64,NA,"Unpublished","Strong",21
65,"OTHER","Published, non top","Strong",38
66,"POLITICAL SCIENCE","Published, non top","Strong",5
67,"OTHER","Published, non top","Weak",3
68,NA,"Unpublished","Strong",2
70,"COMMUNICATION","Published, non top","Null",52
71,"COMMUNICATION","Published, top","Null",36
72,NA,"Unpublished","Weak",20
73,NA,"Unpublished","Null",7
76,"OTHER","Published, non top","Null",33
77,"POLITICAL SCIENCE","Published, non top","Weak",21
78,"COMMUNICATION","Published, non top","Weak",16
80,"PSYCHOLOGY","Published, non top","Weak",19
81,"COMMUNICATION","Published, top","Strong",15
84,"OTHER","Published, non top","Strong",47
86,"POLITICAL SCIENCE","Published, top","Strong",21
87,NA,"Unpublished","Null",27
88,"POLITICAL SCIENCE","Published, top","Weak",16
89,"OTHER","Published, non top","Weak",10
90,"OTHER","Published, non top","Strong",26
91,NA,"Unpublished","Strong",5
92,"OTHER","Published, top","Null",36
93,NA,"Unpublished","Weak",9
94,NA,"Unpublished","Weak",12
95,"OTHER","Published, non top","Strong",50
96,NA,"Unwritten","Null",35
97,"PSYCHOLOGY","Published, non top","Weak",43
98,NA,"Unwritten","Weak",24
99,NA,"Unpublished","Null",20
100,"OTHER","Published, non top","Strong",59
101,"OTHER","Published, top","Strong",12
102,NA,"Unpublished","Strong",1
103,"POLITICAL SCIENCE","Published, non top","Weak",7
104,NA,"Unwritten","Null",14
105,NA,"Unwritten","Null",73
