"shareself","shareblue","sharewhite","sharedomestic","shareunemployed","nvoter","nazivote"
0.1452451,0.4667877,0.0751894,0.2372128,0.075565,20724,8915
0.1776995,0.37847,0.0886076,0.2710842,0.0841387,61024,20388
0.2100499,0.2878295,0.061648,0.3718949,0.0685777,31741,9670
0.149859,0.4592575,0.0911449,0.2109423,0.0887963,67591,26634
0.1146592,0.2782162,0.2976835,0.0748931,0.234548,226176,100041
0.2145603,0.3040565,0.0573774,0.3549705,0.0690353,30835,15255
0.184266,0.3878074,0.0623398,0.2956744,0.0699124,32939,15791
0.1596905,0.4434049,0.0756757,0.2382536,0.0829753,57187,25943
0.1704057,0.4367858,0.0648391,0.2766537,0.0513157,23404,13104
0.1285784,0.4601309,0.1309826,0.1813811,0.098927,30513,14507
0.1542178,0.4132032,0.105162,0.2394123,0.0880047,27742,12908
0.1812074,0.3717381,0.0688057,0.2864732,0.0917756,24094,11914
0.2215256,0.2831101,0.0640032,0.3585345,0.0728266,26651,14212
0.1721933,0.4097764,0.0852793,0.2737719,0.0589791,77067,37265
0.1246292,0.2478628,0.3430067,0.0846176,0.1998837,27618,12047
0.2190335,0.2944825,0.0574431,0.3799759,0.049065,23822,14905
0.2219648,0.304297,0.0657852,0.3543413,0.0536117,60257,33669
0.1867177,0.3108632,0.1243952,0.248656,0.1293679,75824,37760
0.2175747,0.2248127,0.040918,0.4366771,0.0800175,32778,12242
0.1314104,0.299066,0.3009458,0.0946954,0.1738824,26276,9897
0.2022556,0.2773802,0.0453745,0.4083705,0.0666192,30880,20064
0.1841008,0.3383018,0.1241239,0.2989974,0.0544761,27263,16699
0.2084993,0.2840862,0.0820404,0.3579912,0.0673829,34392,24055
0.1987329,0.293051,0.0604749,0.3880389,0.0597023,22402,15859
0.2278379,0.210789,0.0686571,0.4157796,0.0769364,41443,26633
0.170679,0.3459844,0.1009779,0.3075879,0.0747708,45140,23667
0.1986311,0.2994225,0.071016,0.3392513,0.0916791,30589,9951
0.1936613,0.3196492,0.0642523,0.3458771,0.0765601,31380,18794
0.1964737,0.3742747,0.0330308,0.3238357,0.0723851,15984,7348
0.1045354,0.3177672,0.1905067,0.0688474,0.3183433,51441,20623
0.1294097,0.3758819,0.2074318,0.1588664,0.1284102,26777,12866
