"GP","village","reserved","female","irrigation","water"
1,2,1,1,0,10
1,1,1,1,5,0
2,2,1,1,2,2
2,1,1,1,4,31
3,2,0,0,0,0
3,1,0,0,0,0
4,2,0,0,4,7
4,1,0,0,0,12
5,2,0,0,0,28
5,1,0,0,0,0
6,2,0,0,0,23
6,1,0,0,4,12
7,2,0,0,0,0
7,1,0,0,0,0
8,2,1,1,4,41
8,1,1,1,5,23
9,2,0,0,0,0
9,1,0,0,1,0
10,2,0,0,9,12
10,1,0,0,52,59
11,2,0,0,20,70
11,1,0,0,5,7
12,2,0,0,0,2
12,1,0,0,0,3
13,2,0,0,32,23
13,1,0,0,0,0
14,2,1,1,0,1
14,1,1,1,0,1
15,2,1,1,2,0
15,1,1,1,12,0
16,2,0,0,0,5
16,1,0,0,0,6
17,2,0,0,1,10
17,1,0,0,0,3
18,2,1,1,1,7
18,1,1,1,0,10
19,2,0,0,0,41
19,1,0,0,0,76
20,2,1,1,0,0
20,1,1,1,21,123
21,2,0,0,1,1
21,1,0,0,0,7
22,2,0,0,0,0
22,1,0,0,0,0
23,2,0,0,0,2
23,1,0,0,0,18
24,2,0,0,7,18
24,1,0,0,0,16
25,2,1,1,21,340
25,1,1,1,15,6
26,2,0,1,5,5
26,1,0,1,5,0
27,2,1,1,40,309
27,1,1,1,0,4
28,2,0,0,0,5
28,1,0,0,0,8
29,2,0,0,0,9
29,1,0,0,3,0
30,2,1,1,7,31
30,1,1,1,0,200
31,2,0,0,0,20
31,1,0,0,0,12
32,2,0,0,0,28
32,1,0,0,5,41
33,2,0,0,0,0
33,1,0,0,1,0
34,2,1,1,0,10
34,1,1,1,0,5
35,2,0,0,0,2
35,1,0,0,15,4
36,2,0,0,3,59
36,1,0,0,0,19
37,2,1,1,0,8
37,1,1,1,0,1
38,2,0,0,0,10
38,1,0,0,0,4
39,2,0,0,0,16
39,1,0,0,0,2
40,2,0,0,0,5
40,1,0,0,0,3
41,2,0,0,0,10
41,1,0,0,0,3
42,2,0,0,0,9
42,1,0,0,0,6
43,2,1,1,0,1
43,1,1,1,7,7
44,2,1,1,2,25
44,1,1,1,0,0
45,2,0,0,0,11
45,1,0,0,0,0
46,2,1,1,1,13
46,1,1,1,0,4
47,2,0,0,0,17
47,1,0,0,0,17
48,2,1,1,0,5
48,1,1,1,0,8
49,2,1,1,10,78
49,1,1,1,0,19
50,2,0,0,0,2
50,1,0,0,7,41
51,2,1,1,6,0
51,1,1,1,0,3
52,2,0,0,0,8
52,1,0,0,0,5
53,2,0,0,0,21
53,1,0,0,0,6
54,2,0,0,15,26
54,1,0,0,2,9
55,2,0,0,10,8
55,1,0,0,0,3
56,2,0,0,0,0
56,1,0,0,0,1
57,2,1,1,0,9
57,1,1,1,0,10
58,2,0,0,0,11
58,1,0,0,0,12
59,2,1,1,0,0
59,1,1,1,0,5
60,2,0,0,0,24
60,1,0,0,0,24
61,2,0,0,0,0
61,1,0,0,0,10
62,2,1,1,0,0
62,1,1,1,0,144
63,2,1,1,0,2
63,1,1,1,0,5
64,2,0,0,0,6
64,1,0,0,0,1
65,2,1,1,0,43
65,1,1,1,0,9
66,2,1,1,0,38
66,1,1,1,5,25
67,2,0,0,0,11
67,1,0,0,0,15
68,2,0,0,0,0
68,1,0,0,0,9
69,2,0,0,0,30
69,1,0,0,0,2
70,2,1,1,0,98
70,1,1,1,0,44
71,2,0,0,0,1
71,1,0,0,0,5
72,2,1,1,0,2
72,1,1,1,0,4
73,2,0,0,0,10
73,1,0,0,0,14
74,2,0,0,0,0
74,1,0,0,0,0
75,2,0,0,0,3
75,1,0,0,13,23
76,2,0,0,0,1
76,1,0,0,0,10
77,2,0,0,0,5
77,1,0,0,0,9
78,2,1,1,0,6
78,1,1,1,0,2
79,2,0,0,0,0
79,1,0,0,5,6
80,2,1,1,0,8
80,1,1,1,0,7
81,2,0,0,0,0
81,1,0,0,3,4
82,2,0,0,3,11
82,1,0,0,0,17
83,2,1,1,0,0
83,1,1,1,6,13
84,2,0,1,1,9
84,1,0,1,0,5
85,2,0,0,0,0
85,1,0,0,0,4
86,2,0,1,0,12
86,1,0,1,1,13
87,2,0,0,0,4
87,1,0,0,0,28
