"age","male","income","white","college","usborn","treatment","ideology","numberim.pre","numberim.post","remain.pre","remain.post","english.pre","english.post"
31,0,135000,1,1,1,1,3,5,4,2,3,4,4
34,0,105000,1,1,0,1,4,1,2,5,5,3,3
63,1,135000,1,1,1,1,2,1,3,1,1,1,1
45,1,300000,1,1,1,1,4,3,3,4,4,4,4
55,1,135000,1,1,1,0,2,3,2,1,1,4,2
37,0,87500,1,1,1,1,5,3,3,5,5,5,5
64,0,135000,1,0,1,1,NA,5,NA,1,NA,5,NA
53,0,87500,1,0,1,0,5,4,4,4,4,5,5
36,1,135000,1,1,1,1,4,3,3,3,4,4,4
54,0,105000,1,0,1,0,3,3,4,4,3,5,5
42,1,135000,1,1,1,1,4,3,3,2,2,4,5
33,0,105000,1,1,0,0,3,3,3,2,2,5,4
50,1,250000,1,1,1,1,4,4,3,3,2,4,4
24,1,105000,1,1,1,1,4,4,5,4,4,5,4
40,1,62500,1,1,1,0,1,3,3,2,2,1,2
53,1,300000,1,1,1,0,2,1,2,3,3,4,3
50,0,105000,0,1,0,1,3,3,3,5,5,5,5
33,0,135000,1,1,0,1,3,3,3,1,2,3,3
33,1,250000,0,1,0,1,1,3,3,5,5,5,5
32,0,250000,1,1,1,1,2,2,2,2,2,5,5
57,0,135000,1,1,1,1,5,5,5,5,5,5,5
41,0,62500,1,0,1,1,2,3,3,4,4,5,5
36,0,105000,1,1,1,1,2,3,4,5,3,3,3
43,1,135000,1,1,1,0,3,4,3,3,3,3,3
25,0,62500,1,1,1,1,2,3,3,2,2,3,3
41,1,250000,1,1,0,0,2,1,2,2,2,3,3
33,0,105000,1,1,1,0,2,3,3,3,3,4,4
44,1,62500,1,1,1,0,1,2,2,1,2,4,2
46,1,250000,1,1,1,0,4,3,2,2,2,2,2
41,0,135000,0,1,1,0,4,5,5,5,5,1,1
28,0,105000,1,1,1,0,3,2,3,4,2,3,2
36,1,135000,1,1,1,0,2,2,2,1,1,1,1
37,1,105000,1,1,1,0,4,2,2,1,2,3,3
