"village","groznyy","fire","deaths","preattack","postattack"
"Elistanzhi",0,0,NA,4,3
"Malye Shuani",0,1,0,0,1
"Belgatoy",0,1,34,1,0
"Oktya'brskoe",0,0,NA,0,0
"Chiri-Yurt",0,0,NA,4,5
"Gansolchu",0,1,0,0,0
"Achkoi-Martan",0,0,NA,4,8
"Khidi-Khutor",0,1,0,3,1
"Agishbatoi",0,0,NA,2,0
"Shirdi-Mokhk",0,1,0,1,0
"Marshen-Kali",0,0,NA,0,0
"Tazen-Kale",0,1,0,0,0
"Duba-Yurt",0,0,NA,0,0
"Yalkhoy-Mokhk",0,1,0,1,0
"Ersenoi",0,0,NA,0,0
"Shatoi",0,1,2,7,3
"Agishty",0,1,7,0,0
"Serzhen-Yurt",0,0,NA,8,4
"Shali",0,0,NA,6,6
"Urus-Martan",0,1,0,2,4
"Avarskoye",0,0,NA,0,0
"Yermolovskiy",0,1,1,0,0
"Agishty",0,1,7,0,0
"Sel'mentauzen",0,0,NA,0,1
"Alkhan-Kala",0,0,NA,1,1
"Tsotan-Yurt",0,1,0,1,2
"Novye Aldy",0,1,1,4,3
"Zakan-Yurt",0,0,NA,2,0
"Novye Aldy",0,1,1,4,3
"Shaami-Yurt",0,0,NA,0,0
"Kirova",0,0,NA,3,0
"Petropavlovskaya",0,1,2,7,3
"Sharo-Argun",0,1,0,0,0
"Trekhgor'ye",0,0,NA,0,0
"Kurchaloi",0,0,NA,3,6
"Starye Atagi",0,1,0,1,2
"Grozny (Leninskiy)",1,1,5,21,15
"Staropomyslovskiy (Groznyy)",1,0,NA,16,13
"Avtury",0,0,NA,3,2
"Starye Atagi",0,1,1,1,2
"Michurina",0,1,13,3,2
"Tashi",0,0,NA,0,0
"Novogroznenskoi",0,0,NA,1,0
"Tsotan-Yurt",0,1,8,3,1
"Gekhi (Blagodatnoye)",0,0,NA,5,2
"Novye Atagi",0,1,0,0,1
"Alkhazurovo",0,0,NA,0,0
"Tangy-Chu",0,1,0,0,0
"Michurina",0,1,1,2,2
"Podgornyy",0,0,NA,0,0
"Argun",0,1,15,2,2
"Shali",0,0,NA,5,6
"Khatuni",0,1,1,0,0
"Tevzena",0,0,NA,0,0
"Gansolchu",0,1,0,0,0
"Sovetskoye",0,0,NA,0,0
"Grozny  (Zavodskiy)",1,1,3,18,20
"Oktyabr'skiy (Groznyy)",1,0,NA,14,14
"Borzoi",0,0,NA,1,0
"Makhkety",0,1,1,1,0
"Mesker-Yurt",0,1,1,1,0
"Tolstoy-Yurt",0,0,NA,4,0
"Dyshne-Vedeno",0,1,1,0,0
"Vedeno",0,0,NA,5,6
"Staropomyslovskiy (Groznyy)",1,0,NA,17,20
"Urus-Martan",0,1,0,4,4
"Aslanbek-Sherpivo",0,0,NA,0,0
"Urus-Martan",0,1,0,4,4
"Goity",0,0,NA,4,0
"Makhkety",0,1,3,1,0
"Avtury",0,0,NA,3,2
"Grozny (Leninskiy)",1,1,10,27,22
"Chechen-Aul",0,0,NA,2,5
"Novye Atagi",0,1,0,0,2
"Dutsu-khote",0,1,0,0,0
"Vedeno",0,0,NA,7,7
"Musolt-Aul",0,0,NA,0,0
"Ulus-Kert",0,1,2,0,0
"Alkhan-Kala",0,1,0,1,1
"Dai",0,0,NA,0,0
"Geldagan (Gel'dygen)",0,0,NA,0,0
"Zakan-Yurt",0,1,0,0,0
"Ilaskhan-Yurt",0,0,NA,0,2
"Martan-Chu",0,1,0,0,0
"Nizhny Dai",0,1,0,0,0
"Ortsi-Yurt",0,0,NA,0,0
"Gikalo",0,0,NA,1,2
"Grozny (Zavodskiy)",1,1,2,22,20
"Grozny (Leninskiy)",1,1,0,23,20
"Oktyabr'skiy (Groznyy)",1,0,NA,16,12
"Borzoi",0,0,NA,0,1
"Starye Atagi",0,1,1,1,0
"Grozny (Leninskiy)",1,1,3,19,15
"Pervomayskaya",0,0,NA,0,1
"Guni",0,0,NA,0,0
"Starye Atagi",0,1,0,0,0
"Argun",0,1,3,6,0
"Shali",0,0,NA,10,10
"Roshni-chu",0,0,NA,1,2
"Starye Atagi",0,1,1,0,0
"Michurina",0,1,4,0,0
"Nikolaevskaya",0,0,NA,0,0
"Shaami-Yurt",0,1,1,0,0
"Tsa-Vedeno",0,0,NA,3,6
"Alkhazurovo",0,0,NA,0,1
"Starye Atagi",0,1,1,0,0
"Achkoi-Martan",0,1,0,3,1
"Gudermes",0,0,NA,13,11
"Gekhi (Blagodatnoye)",0,0,NA,7,7
"Makhkety",0,1,3,0,0
"Kurchaloi",0,0,NA,2,5
"Starye Atagi",0,1,1,0,1
"Duba-Yurt",0,1,0,0,0
