"following","followed"
"SenAlexander","RoyBlunt"
"SenAlexander","SenatorBurr"
"SenAlexander","JohnBoozman"
"SenAlexander","SenJohnBarrasso"
"SenAlexander","SenBennetCO"
"SenAlexander","SenDanCoats"
"SenAlexander","SenatorCollins"
"SenAlexander","JohnCornyn"
"SenAlexander","SenBobCorker"
"SenAlexander","SenatorEnzi"
"SenAlexander","SenJoniErnst"
"SenAlexander","ChuckGrassley"
"SenAlexander","SenCoryGardner"
"SenAlexander","SenOrrinHatch"
"SenAlexander","SenDeanHeller"
"SenAlexander","SenJohnHoeven"
"SenAlexander","InhofePress"
"SenAlexander","SenatorIsakson"
"SenAlexander","SenRonJohnson"
"SenAlexander","SenatorKirk"
"SenAlexander","SenAngusKing"
"SenAlexander","SenMikeLee"
"SenAlexander","SenJohnMcCain"
"SenAlexander","JerryMoran"
"SenAlexander","lisamurkowski"
"SenAlexander","senrobportman"
"SenAlexander","sendavidperdue"
"SenAlexander","SenPatRoberts"
"SenAlexander","SenRubioPress"
"SenAlexander","SenatorRounds"
"SenAlexander","SenShelby"
"SenAlexander","SenatorSessions"
"SenAlexander","SenSasse"
"SenAlexander","SenJohnThune"
"SenAlexander","SenToomey"
"SenAlexander","SenThomTillis"
"SenAlexander","SenatorWicker"
"SenAlexander","MarkWarner"
"RoyBlunt","SenAlexander"
"RoyBlunt","SenatorBurr"
"RoyBlunt","JohnBoozman"
"RoyBlunt","SenJohnBarrasso"
"RoyBlunt","SenDanCoats"
"RoyBlunt","SenThadCochran"
"RoyBlunt","MikeCrapo"
"RoyBlunt","SenatorCollins"
"RoyBlunt","SenCapito"
"RoyBlunt","JohnCornyn"
"RoyBlunt","SenBobCorker"
"RoyBlunt","SenTomCotton"
"RoyBlunt","SenTedCruz"
"RoyBlunt","SteveDaines"
"RoyBlunt","SenatorEnzi"
"RoyBlunt","SenJoniErnst"
"RoyBlunt","JeffFlake"
"RoyBlunt","SenatorFischer"
"RoyBlunt","ChuckGrassley"
"RoyBlunt","SenCoryGardner"
"RoyBlunt","SenOrrinHatch"
"RoyBlunt","SenDeanHeller"
"RoyBlunt","SenJohnHoeven"
"RoyBlunt","InhofePress"
"RoyBlunt","SenatorIsakson"
"RoyBlunt","SenRonJohnson"
"RoyBlunt","SenatorKirk"
"RoyBlunt","SenatorLankford"
"RoyBlunt","SenMikeLee"
"RoyBlunt","SenJohnMcCain"
"RoyBlunt","McConnellPress"
"RoyBlunt","JerryMoran"
"RoyBlunt","lisamurkowski"
"RoyBlunt","senrobportman"
"RoyBlunt","sendavidperdue"
"RoyBlunt","SenPatRoberts"
"RoyBlunt","SenatorRisch"
"RoyBlunt","SenatorRounds"
"RoyBlunt","SenShelby"
"RoyBlunt","SenatorTimScott"
"RoyBlunt","SenSasse"
"RoyBlunt","SenDanSullivan"
"RoyBlunt","SenJohnThune"
"RoyBlunt","SenToomey"
"RoyBlunt","SenThomTillis"
"RoyBlunt","SenatorWicker"
"SenatorBoxer","SenSherrodBrown"
"SenatorBoxer","SenatorBaldwin"
"SenatorBoxer","SenBennetCO"
"SenatorBoxer","SenBlumenthal"
"SenatorBoxer","SenBookerOfc"
"SenatorBoxer","SenatorCantwell"
"SenatorBoxer","SenatorCardin"
"SenatorBoxer","SenatorCarper"
"SenatorBoxer","SenBobCasey"
"SenatorBoxer","SenCoonsOffice"
"SenatorBoxer","SenatorDurbin"
"SenatorBoxer","SenDonnelly"
"SenatorBoxer","SenFeinstein"
"SenatorBoxer","maziehirono"
"SenatorBoxer","MartinHeinrich"
"SenatorBoxer","SenatorHeitkamp"
"SenatorBoxer","SenAngusKing"
"SenatorBoxer","SenatorLeahy"
"SenatorBoxer","SenatorMenendez"
"SenatorBoxer","SenatorBarb"
"SenatorBoxer","PattyMurray"
"SenatorBoxer","ChrisMurphyCT"
"SenatorBoxer","SenJeffMerkley"
"SenatorBoxer","Sen_JoeManchin"
"SenatorBoxer","SenBillNelson"
"SenatorBoxer","SenGaryPeters"
"SenatorBoxer","SenJackReed"
"SenatorBoxer","SenatorReid"
"SenatorBoxer","SenSanders"
"SenatorBoxer","SenSchumer"
"SenatorBoxer","SenStabenow"
"SenatorBoxer","SenatorShaheen"
"SenatorBoxer","SenBrianSchatz"
"SenatorBoxer","SenatorTomUdall"
"SenatorBoxer","RonWyden"
"SenatorBoxer","SenWhitehouse"
"SenatorBoxer","MarkWarner"
"SenatorBoxer","SenWarren"
"SenSherrodBrown","SenatorBoxer"
"SenSherrodBrown","SenatorBaldwin"
"SenSherrodBrown","SenBennetCO"
"SenSherrodBrown","SenBlumenthal"
"SenSherrodBrown","SenatorCantwell"
"SenSherrodBrown","SenatorCardin"
"SenSherrodBrown","SenatorCarper"
"SenSherrodBrown","SenBobCasey"
"SenSherrodBrown","SenatorDurbin"
"SenSherrodBrown","SenDonnelly"
"SenSherrodBrown","SenFeinstein"
"SenSherrodBrown","maziehirono"
"SenSherrodBrown","MartinHeinrich"
"SenSherrodBrown","SenatorHeitkamp"
"SenSherrodBrown","SenAngusKing"
"SenSherrodBrown","SenKaineOffice"
"SenSherrodBrown","SenatorLeahy"
"SenSherrodBrown","SenatorMenendez"
"SenSherrodBrown","SenatorBarb"
"SenSherrodBrown","PattyMurray"
"SenSherrodBrown","ChrisMurphyCT"
"SenSherrodBrown","SenJeffMerkley"
"SenSherrodBrown","Sen_JoeManchin"
"SenSherrodBrown","SenBillNelson"
"SenSherrodBrown","senrobportman"
"SenSherrodBrown","SenGaryPeters"
"SenSherrodBrown","SenJackReed"
"SenSherrodBrown","SenatorReid"
"SenSherrodBrown","SenSanders"
"SenSherrodBrown","SenSchumer"
"SenSherrodBrown","SenStabenow"
"SenSherrodBrown","SenatorShaheen"
"SenSherrodBrown","SenBrianSchatz"
"SenSherrodBrown","SenatorTester"
"SenSherrodBrown","SenatorTomUdall"
"SenSherrodBrown","RonWyden"
"SenSherrodBrown","SenWhitehouse"
"SenSherrodBrown","MarkWarner"
"SenSherrodBrown","SenWarren"
"SenatorBurr","RoyBlunt"
"SenatorBurr","SenDanCoats"
"SenatorBurr","JohnCornyn"
"SenatorBurr","InhofePress"
"SenatorBurr","SenatorIsakson"
"SenatorBurr","SenJohnMcCain"
"SenatorBurr","senrobportman"
"SenatorBaldwin","SenAlexander"
"SenatorBaldwin","RoyBlunt"
"SenatorBaldwin","SenatorBoxer"
"SenatorBaldwin","SenSherrodBrown"
"SenatorBaldwin","SenatorBurr"
"SenatorBaldwin","JohnBoozman"
"SenatorBaldwin","SenJohnBarrasso"
"SenatorBaldwin","SenBennetCO"
"SenatorBaldwin","SenBlumenthal"
"SenatorBaldwin","SenatorCantwell"
"SenatorBaldwin","SenatorCardin"
"SenatorBaldwin","SenatorCarper"
"SenatorBaldwin","SenDanCoats"
"SenatorBaldwin","SenThadCochran"
"SenatorBaldwin","MikeCrapo"
"SenatorBaldwin","SenatorCollins"
"SenatorBaldwin","JohnCornyn"
"SenatorBaldwin","SenBobCasey"
"SenatorBaldwin","SenBobCorker"
"SenatorBaldwin","SenCoonsOffice"
"SenatorBaldwin","SenTedCruz"
"SenatorBaldwin","SenatorDurbin"
"SenatorBaldwin","SenDonnelly"
"SenatorBaldwin","SenatorEnzi"
"SenatorBaldwin","SenFeinstein"
"SenatorBaldwin","JeffFlake"
"SenatorBaldwin","SenatorFischer"
"SenatorBaldwin","ChuckGrassley"
"SenatorBaldwin","SenOrrinHatch"
"SenatorBaldwin","SenDeanHeller"
"SenatorBaldwin","maziehirono"
"SenatorBaldwin","MartinHeinrich"
"SenatorBaldwin","SenJohnHoeven"
"SenatorBaldwin","SenatorHeitkamp"
"SenatorBaldwin","InhofePress"
"SenatorBaldwin","SenatorIsakson"
"SenatorBaldwin","SenRonJohnson"
"SenatorBaldwin","SenatorKirk"
"SenatorBaldwin","SenAngusKing"
"SenatorBaldwin","SenKaineOffice"
"SenatorBaldwin","SenatorLeahy"
"SenatorBaldwin","SenMikeLee"
"SenatorBaldwin","SenJohnMcCain"
"SenatorBaldwin","McConnellPress"
"SenatorBaldwin","SenatorMenendez"
"SenatorBaldwin","SenatorBarb"
"SenatorBaldwin","JerryMoran"
"SenatorBaldwin","PattyMurray"
"SenatorBaldwin","lisamurkowski"
"SenatorBaldwin","ChrisMurphyCT"
"SenatorBaldwin","McCaskillOffice"
"SenatorBaldwin","SenJeffMerkley"
"SenatorBaldwin","Sen_JoeManchin"
"SenatorBaldwin","SenBillNelson"
"SenatorBaldwin","senrobportman"
"SenatorBaldwin","SenJackReed"
"SenatorBaldwin","SenatorReid"
"SenatorBaldwin","SenPatRoberts"
"SenatorBaldwin","SenatorRisch"
"SenatorBaldwin","SenRubioPress"
"SenatorBaldwin","SenSanders"
"SenatorBaldwin","SenSchumer"
"SenatorBaldwin","SenShelby"
"SenatorBaldwin","SenStabenow"
"SenatorBaldwin","SenatorSessions"
"SenatorBaldwin","SenatorShaheen"
"SenatorBaldwin","SenatorTimScott"
"SenatorBaldwin","SenBrianSchatz"
"SenatorBaldwin","SenJohnThune"
"SenatorBaldwin","SenToomey"
"SenatorBaldwin","SenatorTomUdall"
"SenatorBaldwin","SenatorWicker"
"SenatorBaldwin","RonWyden"
"SenatorBaldwin","SenWhitehouse"
"SenatorBaldwin","MarkWarner"
"SenatorBaldwin","SenWarren"
"JohnBoozman","RoyBlunt"
"JohnBoozman","SenJohnBarrasso"
"JohnBoozman","SenatorCarper"
"JohnBoozman","SenDanCoats"
"JohnBoozman","SenThadCochran"
"JohnBoozman","MikeCrapo"
"JohnBoozman","JohnCornyn"
"JohnBoozman","SenTomCotton"
"JohnBoozman","SenDonnelly"
"JohnBoozman","SteveDaines"
"JohnBoozman","SenatorEnzi"
"JohnBoozman","SenJoniErnst"
"JohnBoozman","ChuckGrassley"
"JohnBoozman","SenDeanHeller"
"JohnBoozman","SenJohnHoeven"
"JohnBoozman","SenatorIsakson"
"JohnBoozman","SenRonJohnson"
"JohnBoozman","SenatorKirk"
"JohnBoozman","SenJohnMcCain"
"JohnBoozman","JerryMoran"
"JohnBoozman","Sen_JoeManchin"
"JohnBoozman","SenBillNelson"
"JohnBoozman","senrobportman"
"JohnBoozman","sendavidperdue"
"JohnBoozman","SenatorRounds"
"JohnBoozman","SenSasse"
"JohnBoozman","SenDanSullivan"
"JohnBoozman","SenJohnThune"
"JohnBoozman","SenToomey"
"JohnBoozman","SenThomTillis"
"SenJohnBarrasso","SenAlexander"
"SenJohnBarrasso","RoyBlunt"
"SenJohnBarrasso","SenatorBurr"
"SenJohnBarrasso","JohnBoozman"
"SenJohnBarrasso","SenDanCoats"
"SenJohnBarrasso","SenThadCochran"
"SenJohnBarrasso","MikeCrapo"
"SenJohnBarrasso","SenatorCollins"
"SenJohnBarrasso","SenCapito"
"SenJohnBarrasso","JohnCornyn"
"SenJohnBarrasso","SenBobCasey"
"SenJohnBarrasso","SenBobCorker"
"SenJohnBarrasso","SenTomCotton"
"SenJohnBarrasso","SenDonnelly"
"SenJohnBarrasso","SteveDaines"
"SenJohnBarrasso","SenatorEnzi"
"SenJohnBarrasso","SenatorFischer"
"SenJohnBarrasso","ChuckGrassley"
"SenJohnBarrasso","SenCoryGardner"
"SenJohnBarrasso","SenOrrinHatch"
"SenJohnBarrasso","SenDeanHeller"
"SenJohnBarrasso","SenJohnHoeven"
"SenJohnBarrasso","SenatorHeitkamp"
"SenJohnBarrasso","InhofePress"
"SenJohnBarrasso","SenatorIsakson"
"SenJohnBarrasso","SenRonJohnson"
"SenJohnBarrasso","SenatorKirk"
"SenJohnBarrasso","SenAngusKing"
"SenJohnBarrasso","SenMikeLee"
"SenJohnBarrasso","SenJohnMcCain"
"SenJohnBarrasso","McConnellPress"
"SenJohnBarrasso","SenatorMenendez"
"SenJohnBarrasso","JerryMoran"
"SenJohnBarrasso","lisamurkowski"
"SenJohnBarrasso","Sen_JoeManchin"
"SenJohnBarrasso","senrobportman"
