"race","classtype","yearssmall","hsgrad","g4math","g4reading"
1,NA,0,NA,642,528
1,3,0,NA,NA,NA
2,NA,0,0,NA,NA
1,NA,0,1,688,729
2,NA,0,0,NA,NA
2,NA,0,NA,NA,734
2,NA,0,NA,NA,NA
2,NA,0,0,703,734
2,NA,0,0,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,0,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,1,619,675
2,NA,0,0,NA,NA
1,NA,1,1,821,794
1,NA,0,NA,NA,NA
1,NA,1,NA,NA,NA
2,NA,0,0,NA,NA
2,NA,0,1,NA,NA
2,NA,0,NA,NA,NA
2,NA,3,NA,NA,NA
1,NA,1,1,758,761
2,NA,0,NA,NA,NA
1,NA,0,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,0,NA,727,836
2,NA,0,NA,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,1,NA,NA
2,NA,0,NA,696,738
2,NA,0,1,666,623
1,NA,1,NA,744,742
1,NA,0,NA,NA,NA
NA,NA,0,NA,NA,NA
2,NA,0,NA,NA,NA
NA,NA,0,NA,NA,NA
2,NA,0,1,NA,NA
1,NA,0,NA,633,695
1,NA,0,NA,NA,NA
1,NA,0,0,NA,NA
1,NA,0,0,704,695
1,NA,2,NA,NA,NA
1,NA,0,NA,NA,NA
1,NA,1,1,NA,NA
1,NA,0,1,NA,NA
2,NA,0,NA,NA,NA
NA,NA,1,NA,NA,NA
1,NA,0,NA,NA,NA
1,NA,1,1,688,748
2,NA,1,NA,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,NA,NA,NA
4,NA,0,NA,NA,NA
1,NA,0,NA,NA,NA
1,NA,0,1,692,738
1,NA,0,NA,NA,NA
1,NA,0,NA,NA,NA
1,NA,0,NA,NA,NA
1,NA,0,NA,NA,NA
2,NA,0,NA,662,668
2,NA,0,0,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,NA,NA,NA
1,NA,0,NA,NA,NA
1,NA,1,NA,NA,NA
1,NA,0,NA,656,738
1,NA,1,1,658,724
2,NA,2,NA,701,676
2,NA,0,NA,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,0,NA,NA
2,NA,1,NA,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,NA,NA,NA
NA,NA,0,NA,NA,NA
2,NA,0,NA,NA,NA
2,NA,1,NA,NA,NA
2,NA,0,1,NA,NA
2,NA,0,0,716,703
NA,NA,0,NA,NA,NA
1,NA,0,NA,740,725
NA,NA,0,NA,NA,NA
1,NA,1,1,NA,NA
2,NA,0,NA,NA,NA
2,NA,0,NA,686,633
NA,NA,0,NA,NA,NA
1,NA,0,0,662,737
2,NA,0,NA,NA,NA
2,NA,0,1,618,663
1,NA,0,NA,NA,NA
1,NA,0,NA,712,836
2,NA,0,NA,487,703
