country,period,age,births,deaths,py.men,py.women,l_x
KEN,1950-1955,0-4,0,398.314,2982.589,2977.828,100000
KEN,1950-1955,5-9,0,36.799,1977.935,1969.698,75157.41852
KEN,1950-1955,10-14,0,19.52,1634.561,1633.975,71364.50247
KEN,1950-1955,15-19,264.185,18.508,1588.554,1564.652,69469.47454
KEN,1950-1955,20-24,485.564,21.361,1427.824,1364.061,67421.14887
KEN,1950-1955,25-29,383.252,20.424,1204.917,1105.817,64854.80015
KEN,1950-1955,30-34,268.644,18.979,1033.053,928.075,62126.80667
KEN,1950-1955,35-39,165.693,18.854,913.425,802.62,59238.6993
KEN,1950-1955,40-44,79.582,19.301,816.753,710.981,56114.34714
KEN,1950-1955,45-49,25.573,19.889,692.612,654.844,52677.51035
KEN,1950-1955,50-54,0,21.198,568.514,592.359,48980.40159
KEN,1950-1955,55-59,0,23.384,455.258,501.808,44720.49284
KEN,1950-1955,60-69,0,55.056,600.284,710.673,39640.72031
KEN,1950-1955,70-79,0,53.304,231.866,337.111,25809.67546
KEN,1950-1955,80+,0,24.42,39.847,82.243,9457.306707
KEN,2005-2010,0-4,0,661.251,15932.589,15674.827,100000
KEN,2005-2010,5-9,0,76.725,13254.048,13100.146,90959.09275
KEN,2005-2010,10-14,0,66.137,11380.859,11277.374,89360.37523
KEN,2005-2010,15-19,1063.629,62.441,10640.972,10575.915,88101.92467
KEN,2005-2010,20-24,2285.725,75.375,9707.67,9692.037,86830.02218
KEN,2005-2010,25-29,1868.313,105.366,8046.14,8020.328,85158.46484
KEN,2005-2010,30-34,1119.287,132.677,6324.058,6188.021,82430.69068
KEN,2005-2010,35-39,611.44,131.216,4794.929,4657.95,78352.83541
KEN,2005-2010,40-44,208.039,98.897,3641.841,3697.673,72998.67709
KEN,2005-2010,45-49,118.814,67.807,2892.613,3114.355,68493.36232
KEN,2005-2010,50-54,0,55.204,2353.851,2596.142,64781.8601
KEN,2005-2010,55-59,0,52.216,1790.568,1966.429,61285.59091
KEN,2005-2010,60-69,0,111.775,2076.313,2325.052,57288.65526
KEN,2005-2010,70-79,0,149.509,1122.979,1317.524,44378.06006
KEN,2005-2010,80+,0,115.845,329.133,401.195,23198.26893
