country,period,age,births,deaths,py.men,py.women,l_x
SWE,1950-1955,0-4,0,13.765,1490.037,1410.502,100000
SWE,1950-1955,5-9,0,1.302,1542.698,1470.816,97575.29203
SWE,1950-1955,10-14,0,1.216,1266.321,1217.133,97308.10763
SWE,1950-1955,15-19,40.823,1.581,1078.133,1049.193,97093.73719
SWE,1950-1955,20-24,141.137,2.264,1119.421,1105.129,96733.76174
SWE,1950-1955,25-29,160.882,2.885,1305.003,1284.552,96223.56365
SWE,1950-1955,30-34,116.906,3.61,1367.22,1338.146,95692.18378
SWE,1950-1955,35-39,64.795,4.704,1365.747,1333.127,95041.54247
SWE,1950-1955,40-44,21.824,6.809,1366.917,1346.314,94214.3266
SWE,1950-1955,45-49,1.702,10.015,1256.239,1268.418,93037.78435
SWE,1950-1955,50-54,0,14.225,1101.377,1139.26,91196.10069
SWE,1950-1955,55-59,0,19.862,944.579,1008.943,88360.78019
SWE,1950-1955,60-69,0,65.883,1456.084,1620.309,83988.01325
SWE,1950-1955,70-79,0,106.465,829.383,945.557,67496.43268
SWE,1950-1955,80+,0,95.869,250.678,320.593,35708.75441
SWE,2005-2010,0-4,0,1.801,1361.938,1290.214,100000
SWE,2005-2010,5-9,0,0.191,1204.157,1142.83,99675.23177
SWE,2005-2010,10-14,0,0.32,1445.904,1372.248,99631.14597
SWE,2005-2010,15-19,9,0.832,1588.189,1507.308,99584.83929
SWE,2005-2010,20-24,69.501,1.318,1435.878,1369.963,99440.56597
SWE,2005-2010,25-29,155.772,1.354,1399.64,1340.452,99205.04983
SWE,2005-2010,30-34,193.185,1.503,1511.593,1460.486,98966.02796
SWE,2005-2010,35-39,98.987,2.155,1639.975,1581.454,98717.42948
SWE,2005-2010,40-44,19.122,3.336,1637.465,1572.523,98386.33571
SWE,2005-2010,45-49,0.907,5.31,1524.391,1476.251,97871.4937
SWE,2005-2010,50-54,0,8.59,1450.93,1423.215,97027.01607
SWE,2005-2010,55-59,0,14.466,1541.47,1529.924,95583.1575
SWE,2005-2010,60-69,0,51.588,2612.883,2635.789,93349.47485
SWE,2005-2010,70-79,0,92.385,1500.119,1794.682,84371.89799
SWE,2005-2010,80+,0,271.644,904.764,1567.216,63683.5241
