country,period,age,births,deaths,py.men,py.women
WORLD,1950-1955,0-4,0,101090.393,946910.589,904909.277
WORLD,1950-1955,5-9,0,7960.861,726903.291,694574.517
WORLD,1950-1955,10-14,0,5550.176,666794.721,635492.291
WORLD,1950-1955,15-19,54238.336,5831.195,626191.128,600677.867
WORLD,1950-1955,20-24,131939.226,6649.425,573518.173,555221.018
WORLD,1950-1955,25-29,128063.23,6425.219,508500.434,507276.961
WORLD,1950-1955,30-34,89246.61,6208.629,433338.378,437131.758
WORLD,1950-1955,35-39,56005.545,6877.151,400279.433,405527.717
WORLD,1950-1955,40-44,24326.598,7995.126,373771.338,382443.655
WORLD,1950-1955,45-49,5071.982,8885.744,326278.284,333888.551
WORLD,1950-1955,50-54,0,9690.833,273318.07,285689.897
WORLD,1950-1955,55-59,0,11109.256,219381.026,238443.392
WORLD,1950-1955,60-69,0,27701.495,302214.304,353255.948
WORLD,1950-1955,70-79,0,26702.179,133347.237,173890.982
WORLD,1950-1955,80+,0,14341.537,30527.161,47261.675
WORLD,2005-2010,0-4,0,40098.376,1619801.882,1512273.962
WORLD,2005-2010,5-9,0,3757.199,1544406.243,1444845.83
WORLD,2005-2010,10-14,0,3247.765,1552687.631,1457101.179
WORLD,2005-2010,15-19,73194.689,4043.199,1593937.865,1509488.811
WORLD,2005-2010,20-24,219277.185,5399.345,1503387.774,1442885.429
WORLD,2005-2010,25-29,190318.699,5996.753,1337034.075,1294852.687
WORLD,2005-2010,30-34,114931.466,6519.377,1259434.334,1225101.75
WORLD,2005-2010,35-39,54975.769,7238.027,1210083.536,1177472.563
WORLD,2005-2010,40-44,17604.73,8212.596,1105937.474,1082103.131
WORLD,2005-2010,45-49,4278.729,9709.548,960561.387,948668.831
WORLD,2005-2010,50-54,0,11955.139,840307.73,837232.562
WORLD,2005-2010,55-59,0,14431.099,681101.652,696280.729
WORLD,2005-2010,60-69,0,38270.238,908660.237,982545.448
WORLD,2005-2010,70-79,0,54685.244,515933.201,636365.646
WORLD,2005-2010,80+,0,58928.48,180743.639,307562.462
