"","year","gini"
"1",1947,0.375999987125397
"2",1948,0.370999991893768
"3",1949,0.377999991178513
"4",1950,0.379000008106232
"5",1951,0.363000005483627
"6",1952,0.368000000715256
"7",1953,0.358999997377396
"8",1954,0.370999991893768
"9",1955,0.363000005483627
"10",1956,0.358000010251999
"11",1957,0.351000010967255
"12",1958,0.354000002145767
"13",1959,0.361000001430511
"14",1960,0.363999992609024
"15",1961,0.374000012874603
"16",1962,0.361999988555908
"17",1963,0.361999988555908
"18",1964,0.361000001430511
"19",1965,0.356000006198883
"20",1966,0.349000006914139
"21",1967,0.358000010251999
"22",1968,0.34799998998642
"23",1969,0.349000006914139
"24",1970,0.352999985218048
"25",1971,0.354999989271164
"26",1972,0.358999997377396
"27",1973,0.356000006198883
"28",1974,0.354999989271164
"29",1975,0.35699999332428
"30",1976,0.358000010251999
"31",1977,0.363000005483627
"32",1978,0.363000005483627
"33",1979,0.365000009536743
"34",1980,0.365000009536743
"35",1981,0.368999987840652
"36",1982,0.379999995231628
"37",1983,0.381999999284744
"38",1984,0.382999986410141
"39",1985,0.388999998569489
"40",1986,0.391999989748001
"41",1987,0.39300000667572
"42",1988,0.395000010728836
"43",1989,0.400999993085861
"44",1990,0.395999997854233
"45",1991,0.397000014781952
"46",1992,0.404000014066696
"47",1993,0.428999990224838
"48",1994,0.425999999046326
"49",1995,0.421000003814697
"50",1996,0.425000011920929
"51",1997,0.428999990224838
"52",1998,0.430000007152557
"53",1999,0.428999990224838
"54",2000,0.43299999833107
"55",2001,0.435000002384186
"56",2002,0.433999985456467
"57",2003,0.435999989509583
"58",2004,0.437999993562698
"59",2005,0.439999997615814
"60",2006,0.444000005722046
"61",2007,0.432000011205673
"62",2008,0.437999993562698
"63",2009,0.442999988794327
"64",2010,0.439999997615814
"65",2011,0.449999988079071
"66",2012,0.45100000500679
"67",2013,0.448000013828278
