"altitude","population","village.surveyed"
1959.08,197,1
2425.8799,744,0
2236.6001,179,1
1691.76,225,0
1928.04,379,0
1194.5601,617,0
1647.76,940,0
1891.3199,1817,0
1194.5601,213,0
1891.3199,309,0
1891.3199,596,0
1891.3199,281,0
1385.6801,447,0
2476.9199,528,0
1518.16,338,0
1622.6,439,0
1518.16,423,0
1194.5601,11771,0
1518.16,59,0
1647.76,892,0
1647.76,426,0
2684.5601,386,0
2192.48,211,0
1647.76,1108,1
1194.5601,513,1
1959.08,587,0
1178.84,94,0
1647.76,997,0
1844.52,1260,0
2476.9199,418,0
1928.04,448,1
2329.76,1074,0
1385.6801,350,0
1194.5601,2703,0
1194.5601,1111,0
1385.6801,568,0
1385.6801,402,0
1385.6801,341,0
2236.6001,349,0
2192.48,445,0
1518.16,193,0
1647.76,488,0
2531.8799,862,1
1496.16,805,0
1496.16,1338,0
1799.8,175,1
2534.72,452,0
2371.48,620,0
2041.4399,209,0
2110.1599,299,0
2403.72,225,0
1947.48,192,0
2403.72,91,0
2578.5601,442,0
2127.3999,425,0
2488.1201,143,0
2578.5601,406,0
1799.8,499,0
1947.48,296,0
1994,65,0
1799.8,329,0
1496.16,949,0
1935,300,1
2041.4399,220,0
2127.3999,547,0
2578.5601,69,1
1496.16,363,0
1599.52,243,0
1947.48,360,0
1994,137,0
2659.8,483,0
2110.1599,173,0
1599.52,1119,0
1599.52,544,1
1599.52,540,0
1935,262,0
1496.16,738,0
1496.16,257,0
1599.52,11600,0
2403.72,175,0
2027.04,297,0
2531.8799,862,0
1947.48,582,0
2403.72,51,0
2578.5601,96,0
1947.48,291,0
1599.52,1044,0
2747.6001,334,0
2127.3999,269,0
2127.3999,711,0
2121.04,572,0
1496.16,1310,0
2488.1201,1276,0
2127.3999,480,0
1947.48,406,0
1935,236,0
2121.04,346,0
1799.8,147,0
1947.48,580,1
2371.48,147,0
1947.48,523,0
2325.48,268,0
2403.72,132,0
1947.48,478,0
1496.16,6816,0
1496.16,886,0
1599.52,320,0
1678.8,875,0
2041.4399,219,0
1947.48,739,0
1599.52,216,0
1935,395,0
1947.48,802,0
1496.16,176,0
1947.48,1270,1
1947.48,94,0
1496.16,451,0
1935,318,1
2578.5601,133,0
1947.48,697,0
2874.24,144,0
2072.0801,283,0
1627.84,392,0
2072.0801,49,0
2072.0801,760,0
1627.84,4843,0
1870.2,268,0
2324.52,105,0
1870.2,368,0
2072.0801,210,0
2874.24,603,0
2874.24,523,0
2311.0801,144,0
1627.84,875,0
1799.52,168,0
2072.0801,903,0
2072.0801,535,0
2072.0801,278,0
2324.52,203,0
1464.04,356,1
2072.0801,436,0
1698.28,349,0
1160.24,1077,1
1464.04,660,0
1160.24,189,0
1698.28,414,0
1627.84,156,0
1627.84,773,0
1698.28,91,1
1799.52,302,0
1627.84,222,0
1160.24,366,0
2072.0801,112,0
1160.24,159,0
1160.24,169,0
1698.28,400,0
1627.84,372,0
2311.0801,532,0
1627.84,734,0
1698.28,249,0
2311.0801,818,0
1627.84,360,1
2559.1201,566,1
2324.52,408,0
2072.0801,339,0
1698.28,216,0
1113.6801,1132,0
1464.04,303,0
1636.92,676,0
1340.64,1052,0
1266.28,47,0
1636.92,341,0
1636.92,237,0
1340.64,376,0
1747.8,1212,0
1864.28,123,0
1636.92,701,0
1112.4,630,0
1747.8,147,0
1112.4,430,0
2863.1599,301,0
905,1000,0
2063.1201,261,0
1112.4,327,0
1747.8,291,0
1112.4,293,0
1013.24,417,0
1636.92,152,0
1340.64,613,0
2063.1201,388,0
1747.8,486,0
1239,138,0
1112.4,500,0
1112.4,359,0
2340.6399,545,0
1239,608,0
2317.76,193,0
2063.1201,475,0
2340.6399,380,0
2063.1201,1235,1
1636.92,511,0
1747.8,53,0
1112.4,282,0
1112.4,63,1
1239,1341,1
2063.1201,205,0
1112.4,521,0
2063.1201,267,0
1747.8,142,1
2340.6399,960,0
2340.6399,430,0
1266.28,406,0
2063.1201,446,0
1239,692,0
2063.1201,216,0
2317.76,323,0
1636.92,123,0
1239,183,0
1112.4,331,0
1864.28,282,1
1239,28,0
1239,409,0
1239,589,0
1239,468,0
2211,250,0
1747.8,272,0
1112.4,124,0
2340.6399,306,0
1266.28,598,1
1112.4,934,0
1636.92,468,0
1636.92,198,0
1266.28,305,0
1864.28,335,0
1239,325,0
1112.4,327,1
1239,517,0
1864.28,514,0
1747.8,111,0
1747.8,282,1
2317.76,670,0
2317.76,213,1
2063.1201,409,0
1747.8,224,0
1112.4,248,0
1747.8,93,0
1864.28,488,0
2863.1599,309,0
2340.6399,146,0
1747.8,152,0
915,1059,0
983.08,655,1
915,708,0
915,771,0
915,2540,1
1775,713,0
1409.2,478,1
844,500,0
1409.2,1632,0
825,2706,0
1490.48,98,0
1340.64,783,0
1013.24,11200,0
1878.84,330,0
2019.3199,507,1
1931,165,0
1893,1200,0
1878.84,331,0
2012.36,423,0
1883,1098,0
1917.4399,2385,0
2098.6399,84,0
1992.5601,491,0
1878.84,330,0
1969.36,581,0
1969.36,1148,0
1917.4,100,0
1899.72,883,0
1917.4399,786,0
2528.1599,713,0
1878.84,310,0
1920,408,0
1917.4399,998,0
2069,1016,0
1984.84,531,0
1905,2000,0
1977.92,931,0
1878.84,250,0
1878.84,278,0
1878.84,270,0
1963.5601,692,0
1969.36,537,0
2586.28,98,0
1917.4,294,1
1977.92,1406,0
2731.8799,96,0
1878.84,175,0
1878.84,552,0
1899.72,541,0
2528.1599,565,0
1917.4,68,0
1878.84,435,0
1917.4399,50,0
1917.4,485,0
1878.84,165,0
2100.76,273,0
2671.52,683,1
2059.8,153,1
2668.72,172,1
2069,1141,1
1933.96,196,0
2282.48,239,0
1977.92,1332,1
2668.72,64,1
1933.96,515,0
1917.4,534,0
2069,197,0
1878.84,173,0
2731.8799,233,0
1933.96,444,0
1917.4,236,0
1917.4399,482,0
1977.92,1021,0
1977.92,1302,0
1878.84,824,0
1883,188,0
1969.36,532,0
2430.3999,17,0
1917.4,401,0
1917.4,124,0
2136.9199,695,0
2379,68,0
2482.96,7,0
1969.36,1246,0
1878.84,170,0
1917.4,169,0
1917.4,250,0
1989.72,70,0
1878.84,459,1
3018.3999,17,0
2059.8,185,0
1899.72,713,0
1969.36,359,0
1878.84,652,1
1878.84,273,0
1878.84,200,0
1917.4399,306,0
2482.96,123,0
2482.96,94,0
2668.72,113,0
1917.4,952,0
2671.52,267,0
1917.4399,701,0
2586.28,185,1
1952,1032,0
1931,879,0
1969.36,840,0
2333.5601,725,0
1933.96,145,0
1878.84,223,0
2586.28,90,0
1878.84,775,0
1969.36,1134,0
2668.72,120,0
2453,632,0
1899.72,177,0
1899.72,560,0
1931,329,0
1917.4,313,0
1883,1556,0
2731.8799,327,0
1990.76,358,0
1924,2500,0
1917.4,605,0
1878.84,289,0
2098.6399,40,1
1917.4,234,0
1883,188,0
2015.12,1239,0
2430.3999,295,0
2482.96,103,0
2528.1599,246,0
1917.4399,403,0
1878.84,105,0
2482.96,33,0
1878.84,117,0
2100.76,59,0
2528.1599,565,1
1878.84,159,0
1917.4399,397,0
2586.28,87,0
1878.84,399,0
1917.4,811,0
1969.36,105,0
1917.4399,335,0
1883,616,1
2482.96,44,0
1977.92,1302,0
2019.3199,148,0
2333.3999,60,0
1917.4,487,0
3018.3999,121,0
1969.36,27933,0
1969.36,1031,0
1878.84,242,0
1899.72,521,0
1917.4,163,0
1878.84,1012,0
2586.28,409,1
1899.72,857,0
1883,450,1
1917.4,231,0
1984.84,304,0
1990.76,1022,0
1933.96,202,0
1878.84,209,1
2586.28,108,0
1977.92,386,0
1992.5601,117,0
1883,268,0
2851.24,346,0
1899.72,854,0
1878.84,157,0
1878.84,49,0
2604.4399,28,0
1917.4,142,1
2604.4399,482,0
2015.12,1796,0
2379,519,0
2430.3999,104,0
1917.4,887,0
1883,251,0
1917.4399,229,0
2528.1599,4,0
