"province","district","village.id","age","educ.years","employed","income","violent.exp.ISAF","violent.exp.taliban","list.group","list.response"
"Logar","Baraki Barak",80,26,10,0,"2,001-10,000",0,0,"control",0
"Logar","Baraki Barak",80,49,3,1,"2,001-10,000",0,0,"control",1
"Logar","Baraki Barak",80,60,0,1,"2,001-10,000",1,0,"control",1
"Logar","Baraki Barak",80,34,14,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",80,21,12,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",80,18,10,1,NA,0,0,"ISAF",2
"Logar","Baraki Barak",80,42,6,1,"10,001-20,000",0,0,"taliban",1
"Logar","Baraki Barak",80,39,12,1,"2,001-10,000",0,1,"taliban",3
"Logar","Baraki Barak",80,20,5,1,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",35,18,10,0,NA,0,0,"control",2
"Logar","Baraki Barak",35,33,11,1,"10,001-20,000",1,0,"control",2
"Logar","Baraki Barak",35,59,0,1,"2,001-10,000",0,0,"control",3
"Logar","Baraki Barak",35,18,7,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",35,36,4,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",35,40,8,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",35,50,12,1,"2,001-10,000",0,0,"taliban",3
"Logar","Baraki Barak",35,30,2,1,"2,001-10,000",0,0,"taliban",2
"Logar","Baraki Barak",35,50,0,1,"2,001-10,000",0,0,"taliban",3
"Logar","Baraki Barak",121,35,12,1,"2,001-10,000",0,0,"control",1
"Logar","Baraki Barak",121,37,8,1,"2,001-10,000",0,1,"control",1
"Logar","Baraki Barak",121,31,12,1,"10,001-20,000",0,0,"control",3
"Logar","Baraki Barak",121,60,12,1,"2,001-10,000",0,0,"ISAF",0
"Logar","Baraki Barak",121,35,6,0,"less than 2,000",0,1,"ISAF",0
"Logar","Baraki Barak",121,48,0,0,"less than 2,000",1,1,"ISAF",0
"Logar","Baraki Barak",121,33,12,1,"2,001-10,000",0,0,"taliban",3
"Logar","Baraki Barak",121,44,12,1,"2,001-10,000",1,0,"taliban",1
"Logar","Baraki Barak",121,53,6,1,"2,001-10,000",1,1,"taliban",3
"Logar","Baraki Barak",12,32,6,1,"2,001-10,000",0,1,"control",2
"Logar","Baraki Barak",12,36,8,1,"2,001-10,000",0,0,"control",3
"Logar","Baraki Barak",12,38,6,1,"2,001-10,000",1,0,"control",1
"Logar","Baraki Barak",12,39,3,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",12,43,10,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Baraki Barak",12,20,3,1,"2,001-10,000",1,0,"ISAF",0
"Logar","Baraki Barak",12,71,12,0,"2,001-10,000",0,0,"taliban",3
"Logar","Baraki Barak",12,63,8,1,"2,001-10,000",1,0,"taliban",1
"Logar","Baraki Barak",12,33,0,1,"2,001-10,000",0,0,"taliban",2
"Logar","Baraki Barak",97,21,2,1,"2,001-10,000",0,0,"control",2
"Logar","Baraki Barak",97,17,8,0,"2,001-10,000",0,0,"control",3
"Logar","Baraki Barak",97,30,0,0,"10,001-20,000",0,0,"control",2
"Logar","Baraki Barak",97,17,6,0,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",97,40,12,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",97,20,10,0,"10,001-20,000",0,0,"ISAF",3
"Logar","Baraki Barak",97,18,9,0,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",97,22,12,1,"2,001-10,000",0,0,"taliban",2
"Logar","Baraki Barak",97,52,0,1,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",154,49,3,1,"less than 2,000",0,0,"control",2
"Logar","Baraki Barak",154,55,6,0,"2,001-10,000",1,0,"control",1
"Logar","Baraki Barak",154,27,10,1,"2,001-10,000",0,0,"control",0
"Logar","Baraki Barak",154,19,9,0,NA,0,0,"ISAF",2
"Logar","Baraki Barak",154,42,4,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",154,66,0,0,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",154,38,12,1,"10,001-20,000",0,0,"taliban",1
"Logar","Baraki Barak",154,25,0,1,"10,001-20,000",0,0,"taliban",2
"Logar","Baraki Barak",154,24,10,1,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",99,18,6,0,"2,001-10,000",0,0,"control",1
"Logar","Baraki Barak",99,24,10,1,"2,001-10,000",0,0,"control",2
"Logar","Baraki Barak",99,56,0,1,"2,001-10,000",0,0,"control",3
"Logar","Baraki Barak",99,32,12,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",99,27,9,0,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",99,33,12,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",99,66,0,0,"10,001-20,000",0,0,"taliban",3
"Logar","Baraki Barak",99,43,12,1,"10,001-20,000",0,0,"taliban",2
"Logar","Baraki Barak",99,34,0,0,"less than 2,000",1,0,"taliban",1
"Logar","Baraki Barak",170,29,9,1,"2,001-10,000",0,0,"control",1
"Logar","Baraki Barak",170,43,5,1,"less than 2,000",0,1,"control",3
"Logar","Baraki Barak",170,33,14,1,"2,001-10,000",0,0,"control",3
"Logar","Baraki Barak",170,22,7,0,"less than 2,000",1,0,"ISAF",1
"Logar","Baraki Barak",170,73,5,0,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",170,27,10,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",170,37,8,1,"2,001-10,000",1,0,"taliban",1
"Logar","Baraki Barak",170,18,3,0,"2,001-10,000",0,0,"taliban",2
"Logar","Baraki Barak",170,40,9,1,"less than 2,000",0,0,"taliban",3
"Logar","Baraki Barak",100,26,11,1,"2,001-10,000",0,0,"control",1
"Logar","Baraki Barak",100,22,12,0,"2,001-10,000",0,0,"control",0
"Logar","Baraki Barak",100,36,4,1,"less than 2,000",0,0,"control",2
"Logar","Baraki Barak",100,29,14,1,"2,001-10,000",0,0,"ISAF",0
"Logar","Baraki Barak",100,18,6,0,"less than 2,000",1,0,"ISAF",1
"Logar","Baraki Barak",100,41,10,1,"2,001-10,000",1,0,"ISAF",0
"Logar","Baraki Barak",100,30,14,1,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",100,73,4,0,"2,001-10,000",0,0,"taliban",2
"Logar","Baraki Barak",100,19,0,1,"less than 2,000",0,0,"taliban",2
"Logar","Baraki Barak",87,49,9,1,"2,001-10,000",0,0,"control",1
"Logar","Baraki Barak",87,21,4,0,NA,1,0,"control",3
"Logar","Baraki Barak",87,36,12,1,"2,001-10,000",0,0,"control",3
"Logar","Baraki Barak",87,42,0,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",87,63,0,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",87,20,7,0,"less than 2,000",1,0,"ISAF",1
"Logar","Baraki Barak",87,53,12,1,"less than 2,000",0,0,"taliban",3
"Logar","Baraki Barak",87,40,10,1,"10,001-20,000",1,0,"taliban",1
"Logar","Baraki Barak",87,27,4,0,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",46,62,6,0,"2,001-10,000",0,0,"control",1
"Logar","Baraki Barak",46,31,4,1,"10,001-20,000",1,0,"control",3
"Logar","Baraki Barak",46,21,9,0,"2,001-10,000",0,0,"control",1
"Logar","Baraki Barak",46,53,12,1,"10,001-20,000",1,0,"control",3
"Logar","Baraki Barak",46,25,0,1,"2,001-10,000",0,0,"control",3
"Logar","Baraki Barak",46,49,6,1,"10,001-20,000",1,0,"control",3
"Logar","Baraki Barak",46,31,0,0,"less than 2,000",0,0,"ISAF",1
"Logar","Baraki Barak",46,40,10,1,"2,001-10,000",0,0,"ISAF",3
"Logar","Baraki Barak",46,23,14,1,"2,001-10,000",0,1,"ISAF",3
"Logar","Baraki Barak",46,18,0,0,"less than 2,000",0,0,"ISAF",2
"Logar","Baraki Barak",46,73,12,0,"10,001-20,000",0,0,"ISAF",1
"Logar","Baraki Barak",46,29,2,1,"2,001-10,000",0,0,"ISAF",1
"Logar","Baraki Barak",46,32,8,1,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",46,55,12,1,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",46,47,10,1,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",46,38,7,1,"10,001-20,000",0,0,"taliban",1
"Logar","Baraki Barak",46,39,6,1,"2,001-10,000",0,0,"taliban",1
"Logar","Baraki Barak",46,55,6,1,"less than 2,000",0,0,"taliban",3
"Logar","Baraki Barak",102,22,12,1,"2,001-10,000",0,0,"control",2
"Logar","Baraki Barak",102,35,6,1,"2,001-10,000",0,1,"control",2
"Logar","Baraki Barak",102,70,8,1,"10,001-20,000",0,1,"control",1
"Logar","Baraki Barak",102,37,8,0,"less than 2,000",1,0,"control",3
"Logar","Baraki Barak",102,24,12,1,"10,001-20,000",1,0,"control",0
"Logar","Baraki Barak",102,40,6,1,"2,001-10,000",1,0,"control",0
"Logar","Baraki Barak",102,39,12,1,"2,001-10,000",1,0,"ISAF",3
"Logar","Baraki Barak",102,25,12,1,"10,001-20,000",0,0,"ISAF",1
"Logar","Baraki Barak",102,45,12,1,"2,001-10,000",1,0,"ISAF",1
"Logar","Baraki Barak",102,33,9,1,"2,001-10,000",1,0,"ISAF",1
"Logar","Baraki Barak",102,18,0,0,NA,0,0,"ISAF",2
"Logar","Baraki Barak",102,73,7,1,"2,001-10,000",0,0,"ISAF",2
"Logar","Baraki Barak",102,72,12,1,"10,001-20,000",1,0,"taliban",1
"Logar","Baraki Barak",102,51,3,1,"10,001-20,000",0,1,"taliban",1
"Logar","Baraki Barak",102,24,12,1,"10,001-20,000",1,0,"taliban",2
"Logar","Baraki Barak",102,31,6,1,"2,001-10,000",1,1,"taliban",3
