"","caseid","gaytherm"
"1",328,50
"2",324,95
"3",100,16
"4",584,50
"5",63,58
"6",461,100
"7",81,93
"8",735,NA
"9",565,72
"10",16,71
"11",705,96
"12",462,50
"13",99,59
"14",978,26
"15",882,50
"16",267,47
"17",90,80
"18",315,43
"19",594,51
"20",389,19
"21",160,NA
"22",878,99
"23",317,31
"24",737,69
"25",224,53
"26",210,67
"27",230,100
"28",472,50
"29",157,72
"30",30,50
"31",146,24
"32",757,84
"33",232,NA
"34",765,81
"35",738,87
"36",614,99
"37",957,52
"38",459,49
"39",213,10
"40",654,51
"41",956,3
"42",738,45
"43",143,51
"44",324,91
"45",94,51
"46",548,65
"47",994,100
"48",783,3
"49",43,99
"50",80,69
"51",795,100
"52",425,78
"53",281,50
"54",651,40
"55",181,72
"56",896,28
"57",2,100
"58",174,29
"59",137,10
"60",920,75
"61",452,3
"62",289,75
"63",731,2
"64",731,53
"65",660,50
"66",597,76
"67",163,98
"68",536,100
"69",870,50
"70",968,29
"71",740,70
"72",767,91
"73",998,56
"74",600,NA
"75",565,48
"76",152,93
"77",621,50
"78",344,52
"79",927,92
"80",248,12
"81",507,88
"82",579,72
"83",375,49
"84",468,55
"85",559,100
"86",186,100
"87",343,91
"88",160,NA
"89",138,50
"90",427,34
"91",855,57
"92",87,100
"93",534,43
"94",712,17
"95",720,28
"96",119,NA
"97",73,100
"98",807,50
"99",403,91
"100",662,100
"101",741,4
"102",567,77
"103",594,8
"104",864,40
"105",251,43
"106",274,41
"107",208,53
"108",915,6
"109",313,40
"110",964,50
"111",908,51
"112",550,50
"113",257,75
"114",200,84
"115",78,100
"116",511,95
"117",85,88
"118",69,71
"119",897,90
"120",980,1
"121",595,41
"122",317,70
"123",791,36
"124",775,NA
"125",832,20
"126",806,10
"127",53,50
"128",904,1
"129",307,51
"130",85,NA
"131",983,NA
"132",933,20
"133",419,20
"134",887,2
"135",993,50
"136",95,52
"137",551,50
"138",797,NA
"139",197,3
"140",965,NA
"141",451,91
"142",203,50
"143",177,NA
"144",897,22
"145",458,67
"146",462,100
"147",269,8
"148",862,73
"149",73,54
"150",505,100
"151",911,78
"152",641,97
"153",586,50
"154",397,50
"155",624,81
"156",360,84
"157",850,50
"158",323,71
"159",283,81
"160",75,NA
"161",708,50
"162",652,NA
"163",146,86
"164",129,95
"165",197,47
"166",53,32
"167",293,13
"168",945,54
"169",97,56
"170",334,30
"171",100,6
"172",933,100
"173",896,3
"174",186,50
"175",561,32
"176",239,82
"177",2,70
"178",124,64
"179",877,31
"180",616,NA
"181",575,96
"182",755,31
"183",514,NA
"184",463,41
"185",58,86
"186",301,NA
"187",301,99
"188",78,50
"189",917,30
"190",901,53
"191",537,3
"192",313,43
"193",387,36
"194",908,6
"195",433,95
"196",42,6
"197",62,7
"198",480,100
"199",566,7
"200",85,50
"201",357,32
"202",293,7
"203",779,2
"204",104,10
"205",321,50
"206",587,53
"207",276,9
"208",684,3
"209",24,84
