"study","treatment","therm1","therm2","therm3","therm4"
1,"No Contact",91,91,NA,NA
1,"No Contact",72,72,NA,NA
1,"No Contact",69,69,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Gay Canvasser",50,48,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",56,56,NA,NA
1,"No Contact",63,63,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",84,84,NA,NA
2,"No Contact",2,6,0,6
2,"No Contact",91,90,100,93
2,"Same-Sex Marriage Script by Gay Canvasser",52,58,53,59
2,"Same-Sex Marriage Script by Gay Canvasser",43,NA,31,48
1,"No Contact",2,2,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,94,100,NA
2,"Same-Sex Marriage Script by Gay Canvasser",92,97,87,93
2,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,47
1,"No Contact",50,45,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",99,100,92,100
1,"No Contact",98,98,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",30,30,NA,NA
1,"No Contact",73,73,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",100,95,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",1,1,NA,NA
1,"Recycling Script by Gay Canvasser",94,94,NA,NA
2,"No Contact",46,67,38,46
1,"Recycling Script by Straight Canvasser",9,9,NA,NA
1,"Recycling Script by Straight Canvasser",6,6,NA,NA
1,"No Contact",3,NA,NA,NA
1,"Recycling Script by Straight Canvasser",4,4,NA,NA
1,"Recycling Script by Straight Canvasser",50,53,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",100,100,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,45,53,51
1,"No Contact",50,52,NA,NA
1,"No Contact",50,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,64,55,64
2,"Same-Sex Marriage Script by Gay Canvasser",50,63,NA,49
1,"No Contact",51,51,NA,NA
1,"No Contact",8,8,NA,NA
1,"No Contact",27,27,NA,NA
1,"No Contact",62,62,NA,NA
1,"No Contact",78,78,NA,NA
1,"No Contact",87,87,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,65,NA,NA
1,"Recycling Script by Gay Canvasser",84,84,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,47,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,96,97
1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",19,19,NA,NA
1,"No Contact",84,84,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",12,NA,NA,NA
1,"No Contact",77,77,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,50,NA,NA
1,"Recycling Script by Gay Canvasser",24,24,NA,NA
1,"No Contact",88,NA,NA,NA
1,"No Contact",22,22,NA,NA
1,"No Contact",52,52,NA,NA
1,"Recycling Script by Straight Canvasser",50,52,NA,NA
1,"Recycling Script by Gay Canvasser",50,46,NA,NA
1,"No Contact",60,NA,NA,NA
2,"No Contact",6,0,NA,16
1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
1,"No Contact",50,49,NA,NA
