"cty_name","year","logGDPcp","regime","oil","metal","illit","life"
"Afghanistan",1966,NA,-7,NA,0.004242876,NA,NA
"Afghanistan",1967,NA,-7,0.22510158,0.0038247101,NA,36
"Afghanistan",1968,NA,-7,0.6578155,NA,NA,NA
"Afghanistan",1969,NA,-7,0.8730071,NA,NA,NA
"Afghanistan",1970,NA,-7,0.81964153,NA,88,37.2
"Afghanistan",1971,NA,-7,0.793978,NA,NA,NA
"Afghanistan",1972,NA,-7,1.0715389,NA,NA,38
"Afghanistan",1973,NA,-7,1.0659808,NA,NA,NA
"Afghanistan",1974,NA,-7,1.494631,0.007000494,NA,NA
"Afghanistan",1975,NA,-7,1.9158591,NA,85.2,NA
"Afghanistan",1976,NA,-7,1.5472172,1.5677855e-05,NA,NA
"Afghanistan",1977,NA,-7,NA,0.0001286385,NA,40
"Afghanistan",1978,NA,-7,NA,NA,NA,NA
"Afghanistan",1979,NA,-7,NA,0.030827992,NA,NA
"Afghanistan",1980,NA,-7,NA,0.043185577,81.9,40.2927
"Afghanistan",1981,NA,-7,NA,0.021823669,NA,NA
"Afghanistan",1982,NA,-7,NA,NA,NA,40.4878
"Afghanistan",1983,NA,-7,NA,NA,NA,NA
"Afghanistan",1984,NA,-7,NA,NA,NA,NA
"Afghanistan",1985,NA,-7,NA,NA,78,NA
"Afghanistan",1986,NA,-7,NA,NA,NA,NA
"Afghanistan",1987,NA,-7,NA,NA,NA,41.4878
"Afghanistan",1988,NA,-7,NA,NA,NA,NA
"Afghanistan",1989,NA,-8,NA,NA,NA,NA
"Afghanistan",1990,NA,-8,NA,NA,73.5,42.6878
"Afghanistan",1991,NA,-8,NA,NA,NA,NA
"Afghanistan",1992,NA,0,NA,NA,NA,43.4878
"Afghanistan",1993,NA,0,NA,NA,NA,NA
"Afghanistan",1994,NA,0,NA,NA,NA,NA
"Afghanistan",1995,NA,0,NA,NA,68.5,NA
"Afghanistan",1996,NA,-7,NA,NA,NA,NA
"Afghanistan",1997,NA,-7,NA,NA,66.58,45.4878
"Angola",1975,5.9839363,-7,NA,NA,NA,NA
"Angola",1976,5.924256,-7,NA,NA,NA,NA
"Angola",1977,5.9839363,-7,NA,NA,NA,40.0122
"Angola",1978,6.075346,-7,NA,NA,NA,NA
"Angola",1979,6.150603,-7,NA,NA,NA,NA
"Angola",1980,6.4052286,-7,NA,NA,NA,41.1815
"Angola",1981,6.4567695,-7,NA,NA,NA,NA
"Angola",1982,6.499787,-7,NA,NA,NA,41.961
"Angola",1983,6.4952655,-7,NA,NA,NA,NA
"Angola",1984,6.522093,-7,NA,NA,NA,NA
"Angola",1985,6.5666723,-7,NA,NA,NA,NA
"Angola",1986,6.4831076,-7,NA,NA,NA,NA
"Angola",1987,6.510258,-7,NA,NA,NA,43.961
"Angola",1988,6.565265,-7,NA,NA,NA,NA
"Angola",1989,6.5453496,-7,NA,NA,NA,NA
"Angola",1990,7.440232,-7,35.602062,2.3699489,NA,45.461
"Angola",1991,7.440232,0,26.511532,1.3575792,NA,NA
"Angola",1992,7.6476746,0,NA,NA,NA,46.461
"Angola",1993,7.411716,0,NA,NA,NA,NA
"Angola",1994,7.451414,0,NA,NA,NA,NA
"Angola",1995,7.747604,0,NA,NA,NA,NA
"Angola",1996,7.345963,0,NA,NA,NA,NA
"Angola",1997,7.255493,0,NA,NA,NA,46.461
"Albania",1966,NA,-9,NA,NA,NA,NA
"Albania",1967,NA,-9,NA,NA,NA,62.9756
"Albania",1968,NA,-9,NA,NA,NA,NA
"Albania",1969,NA,-9,NA,NA,NA,NA
"Albania",1970,NA,-9,NA,NA,NA,65.361
"Albania",1971,NA,-9,NA,NA,NA,NA
"Albania",1972,NA,-9,NA,NA,NA,66.9512
"Albania",1973,NA,-9,NA,NA,NA,NA
"Albania",1974,NA,-9,NA,NA,NA,NA
"Albania",1975,NA,-9,NA,NA,NA,NA
"Albania",1976,NA,-9,NA,NA,NA,NA
"Albania",1977,NA,-9,NA,NA,NA,68.439
"Albania",1978,NA,-9,NA,NA,NA,NA
"Albania",1979,NA,-9,NA,NA,NA,NA
"Albania",1980,NA,-9,NA,NA,NA,69.3317
"Albania",1981,NA,-9,NA,NA,NA,NA
"Albania",1982,NA,-9,NA,NA,NA,69.9268
"Albania",1983,NA,-9,NA,NA,NA,NA
"Albania",1984,NA,-9,NA,NA,NA,NA
"Albania",1985,NA,-9,NA,NA,NA,NA
"Albania",1986,NA,-9,NA,NA,NA,NA
"Albania",1987,NA,-9,NA,NA,NA,71.0341
"Albania",1988,NA,-9,NA,NA,NA,NA
"Albania",1989,NA,-9,NA,NA,NA,72.478
"Albania",1990,7.619876,-9,NA,NA,NA,72.2756
"Albania",1991,7.3397655,1,NA,NA,NA,72.2756
"Albania",1992,7.327254,5,NA,NA,NA,71.3293
"Albania",1993,7.4458385,5,NA,NA,NA,71.3293
"Albania",1994,7.5467987,5,NA,NA,NA,72.4756
"Albania",1995,7.638494,5,NA,NA,NA,71.3293
"Albania",1996,7.7224827,0,0.237928,0.96810097,NA,71.678
"Albania",1997,7.638494,6,0.06946399,0.79771006,NA,71.678
"United Arab Emirates",1971,NA,-7,NA,NA,NA,NA
"United Arab Emirates",1972,NA,-7,NA,NA,NA,62.5049
"United Arab Emirates",1973,NA,-7,74.19219,1.2940161,NA,NA
"United Arab Emirates",1974,NA,-7,88.241646,0.26531184,NA,NA
"United Arab Emirates",1975,9.709267,-7,65.93863,0.27880257,40.2,NA
"United Arab Emirates",1976,9.687519,-7,64.25789,0.14476104,NA,NA
