Year,CountryAbb,CountryName,idealpoint,PctAgreeUS,PctAgreeRUSSIA
1946,USA,United States of America,1.713689,1,0.2142857
1947,USA,United States of America,1.812884,1,0.2631579
1948,USA,United States of America,1.936166,1,0.127451
1949,USA,United States of America,1.876619,1,0.1111111
1950,USA,United States of America,1.810646,1,0.1730769
1951,USA,United States of America,1.827585,1,0.12
1952,USA,United States of America,1.904681,1,0.1428571
1953,USA,United States of America,1.693321,1,0.2
1954,USA,United States of America,1.481978,1,0.2
1955,USA,United States of America,1.718713,1,0.1481481
1956,USA,United States of America,1.285302,1,0.2166667
1957,USA,United States of America,1.247082,1,0.2352941
1958,USA,United States of America,1.265679,1,0.3030303
1959,USA,United States of America,1.547067,1,0.1296296
1960,USA,United States of America,1.532066,1,0.2330097
1961,USA,United States of America,1.69795,1,0.109589
1962,USA,United States of America,1.888888,1,0.173913
1963,USA,United States of America,1.852142,1,0.1290323
1965,USA,United States of America,2.01122,1,0.225
1966,USA,United States of America,2.068764,1,0.16
1967,USA,United States of America,2.259427,1,0.1929825
1968,USA,United States of America,2.212523,1,0.1372549
1969,USA,United States of America,2.092634,1,0.2325581
1970,USA,United States of America,2.131732,1,0.1343284
1971,USA,United States of America,1.804725,1,0.2436975
1972,USA,United States of America,2.040217,1,0.3030303
1973,USA,United States of America,2.208842,1,0.2967033
1974,USA,United States of America,2.03113,1,0.3561644
1975,USA,United States of America,2.144765,1,0.2173913
1976,USA,United States of America,2.392677,1,0.1882353
1977,USA,United States of America,2.206194,1,0.2
1978,USA,United States of America,2.228278,1,0.2113821
1979,USA,United States of America,2.277273,1,0.1983471
1980,USA,United States of America,2.317607,1,0.1262136
1981,USA,United States of America,2.657725,1,0.1052632
1982,USA,United States of America,2.568409,1,0.1392405
1983,USA,United States of America,2.59161,1,0.1006711
1984,USA,United States of America,2.736977,1,0.09271523
1985,USA,United States of America,2.741554,1,0.1125828
1986,USA,United States of America,2.851111,1,0.1208054
1987,USA,United States of America,2.927396,1,0.09489051
1988,USA,United States of America,2.902237,1,0.06870229
1989,USA,United States of America,2.962138,1,0.07017544
1990,USA,United States of America,2.892775,1,0.1428571
1991,USA,United States of America,2.753885,1,0.2428571
1992,USA,United States of America,2.765667,1,0.3287671
1993,USA,United States of America,2.734118,1,0.359375
1994,USA,United States of America,2.687955,1,0.3529412
1995,USA,United States of America,2.939334,1,0.3580247
1996,USA,United States of America,3.01443,1,0.3561644
1997,USA,United States of America,2.923247,1,0.3188406
1998,USA,United States of America,2.854304,1,0.2833333
1999,USA,United States of America,2.67824,1,0.2794118
2000,USA,United States of America,2.610541,1,0.2575758
2001,USA,United States of America,2.576103,1,0.2272727
2002,USA,United States of America,2.627501,1,0.1857143
2003,USA,United States of America,2.796361,1,0.25
2004,USA,United States of America,2.771006,1,0.1428571
2005,USA,United States of America,2.894439,1,0.1388889
2006,USA,United States of America,2.879439,1,0.09195402
2007,USA,United States of America,2.770945,1,0.1184211
2008,USA,United States of America,2.752215,1,0.08333333
2009,USA,United States of America,2.563894,1,0.1641791
2010,USA,United States of America,2.519043,1,0.1818182
2011,USA,United States of America,2.521651,1,0.2307692
2012,USA,United States of America,2.680503,1,0.2647059
1946,CAN,Canada,1.848642,0.8292683,0.2195122
1947,CAN,Canada,1.987208,0.8947368,0.2105263
1948,CAN,Canada,1.911321,0.8058252,0.1862745
1949,CAN,Canada,1.672426,0.7936508,0.0952381
1950,CAN,Canada,1.811598,0.7169811,0.2307692
1951,CAN,Canada,1.916447,0.72,0.16
1952,CAN,Canada,1.988829,0.8571429,0.08163265
1953,CAN,Canada,1.744788,0.56,0.2
1954,CAN,Canada,1.746467,0.6666667,0.2333333
1955,CAN,Canada,1.713514,0.6296296,0.3703704
1956,CAN,Canada,1.554075,0.9,0.2
1957,CAN,Canada,1.608241,0.8529412,0.1470588
1958,CAN,Canada,1.578875,0.8787879,0.2727273
1959,CAN,Canada,1.096477,0.6481481,0.2222222
1960,CAN,Canada,1.105619,0.7961165,0.2330097
1961,CAN,Canada,1.467386,0.8767123,0.1081081
1962,CAN,Canada,1.555075,0.8695652,0.2173913
1963,CAN,Canada,1.6104,0.7419355,0.2258065
1965,CAN,Canada,1.685311,0.775,0.325
1966,CAN,Canada,1.773528,0.86,0.22
1967,CAN,Canada,1.768703,0.8070175,0.2631579
1968,CAN,Canada,1.576636,0.6862745,0.254902
1969,CAN,Canada,1.614589,0.7906977,0.2727273
1970,CAN,Canada,1.577113,0.761194,0.1791045
1971,CAN,Canada,1.390582,0.6525424,0.3361345
1972,CAN,Canada,1.549067,0.71,0.3465347
1973,CAN,Canada,1.479023,0.5164835,0.3296703
1974,CAN,Canada,1.471196,0.5479452,0.3972603
1975,CAN,Canada,1.456581,0.5507246,0.3478261
1976,CAN,Canada,1.500903,0.4705882,0.4367816
1977,CAN,Canada,1.686702,0.6966292,0.3
1978,CAN,Canada,1.768239,0.7096774,0.2777778
1979,CAN,Canada,1.809657,0.6694215,0.1967213
1980,CAN,Canada,1.823752,0.6470588,0.1862745
1981,CAN,Canada,1.773111,0.5263158,0.2686567
1982,CAN,Canada,1.655963,0.443038,0.2911392
1983,CAN,Canada,1.658075,0.4832215,0.2818792
1984,CAN,Canada,1.703142,0.4635762,0.3112583
1985,CAN,Canada,1.644971,0.4802632,0.2847682
1986,CAN,Canada,1.554641,0.410596,0.34
1987,CAN,Canada,1.546394,0.3714286,0.4326241
1988,CAN,Canada,1.402928,0.3257576,0.4427481
1989,CAN,Canada,1.355589,0.2631579,0.4912281
1990,CAN,Canada,1.285867,0.297619,0.5119048
1991,CAN,Canada,1.270997,0.3611111,0.5492958
1992,CAN,Canada,1.234178,0.3424658,0.7260274
1993,CAN,Canada,1.137772,0.390625,0.703125
1994,CAN,Canada,1.145375,0.4117647,0.6617647
1995,CAN,Canada,1.105507,0.4074074,0.6790123
1996,CAN,Canada,1.196336,0.5,0.6849315
1997,CAN,Canada,1.116419,0.4347826,0.6956522
1998,CAN,Canada,1.177725,0.4262295,0.6833333
1999,CAN,Canada,1.173386,0.4264706,0.6617647
2000,CAN,Canada,1.11242,0.4179104,0.6363636
2001,CAN,Canada,1.183504,0.3880597,0.5909091
2002,CAN,Canada,1.12945,0.3194444,0.6142857
2003,CAN,Canada,1.127329,0.3684211,0.6184211
2004,CAN,Canada,1.235646,0.3913043,0.5294118
2005,CAN,Canada,1.264489,0.369863,0.5616438
2006,CAN,Canada,1.412354,0.3448276,0.5172414
2007,CAN,Canada,1.559757,0.4155844,0.4473684
2008,CAN,Canada,1.610638,0.4084507,0.4225352
2009,CAN,Canada,1.581555,0.5820896,0.358209
2010,CAN,Canada,1.52868,0.5151515,0.4477612
2011,CAN,Canada,1.855609,0.8153846,0.2923077
2012,CAN,Canada,2.059028,0.7164179,0.2985075
1973,BHM,Bahamas,0.7104682,0.3783784,0.5135135
1974,BHM,Bahamas,0.6875999,0.372549,0.5882353
1975,BHM,Bahamas,0.9331545,0.2222222,0.4722222
1976,BHM,Bahamas,0.7111803,0.2375,0.5609756
1977,BHM,Bahamas,0.5372855,0.3452381,0.5176471
1978,BHM,Bahamas,0.5252979,0.3870968,0.5
1979,BHM,Bahamas,0.1876311,0.2905983,0.6016949
1980,BHM,Bahamas,0.1785362,0.2268041,0.5979381
1981,BHM,Bahamas,0.1313416,0.1692308,0.6717557
1982,BHM,Bahamas,0.1283757,0.1458333,0.6388889
1983,BHM,Bahamas,0.2471863,0.1369863,0.6369863
